School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
331,Otago Girls' High School,03-4740496,oghsadmin@otagogirls.school.nz,Bridget Davidson,http://www.otagogirls.school.nz,41 Tennyson Street,,Dunedin,41 Tennyson Street,Dunedin Central,Dunedin,9016,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Runga
332,St Hildas Collegiate,03-477 0989,admin@shcs.school.nz,Jacqueline Barron,http://www.shcs.school.nz/,2 Cobden Street,,Dunedin,2 Cobden Street,Dunedin Central,Dunedin,9016,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Runga
333,Kaikorai Valley College,03-453 6035,office@kvc.school.nz,Jatin Bali,http://kvcollege.co.nz,Kaikorai Valley Road,,Dunedin,500 Kaikorai Valley Road,Bradford,Dunedin,9011,Major urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
334,Bayfield High School,03-4550113,bayfield@bayfield-high.school.nz,Mark Jones,http://www.bayfield-high.school.nz/,Shore Street,Andersons Bay,Dunedin,2 Shore Street,Andersons Bay,Dunedin,9013,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Runga
335,Kings High School (Dunedin),03-4557547,rectors-ea@kingshigh.school.nz,Nick McIvor,http://www.kingshigh.school.nz,270 Bay View Road,,Dunedin,270 Bay View Road,South Dunedin,Dunedin,9012,Major urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Runga
336,Queen's High School,03-4557212,qhs@queens.school.nz,Barbara Agnew,http://www.queens.school.nz,195 Surrey Street,St Clair,Dunedin,195 Surrey Street,Saint Clair,Dunedin,9012,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Runga
337,Columba College,03-467 5188,admin@columbacollege.school.nz,Aaron Everett (Acting),http://www.columbacollege.school.nz,399 Highgate,Roslyn,Dunedin,Private Bag 1911,,Dunedin,9054,Major urban area,Composite,,State : Integrated,Primary Co-Ed/Secondary Girls,,Te Tai Runga
338,John McGlashan College,03-4676620,office@mcglashan.school.nz,Aaron Columbus,http://www.mcglashan.school.nz,2 Pilkington Street,Maori Hill,Dunedin,2 Pilkington Street,Maori Hill,Dunedin,9010,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Runga
339,Lawrence Area School,03-4859906,office@las.school.nz,Dave Bagwell,http://www.las.school.nz/,18 Harrington Street,,Lawrence,18 Harrington Street,,Lawrence,9532,Rural settlement,Composite,,State,Co-Educational,,Te Tai Runga
340,Blue Mountain College,03-2048358,admin@bmc.school.nz,Janelle Eason,https://www.bmc.school.nz/,State Highway 90,,Tapanui,State Highway 90,,Tapanui,9522,Rural settlement,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
341,Tokomairiro High School,03-4178620,ths@tokohigh.school.nz,Vicki Wish,http://www.tokohigh.school.nz/,238 Union Street,,Milton,238 Union Street,,Milton,9220,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
342,South Otago High School,03-4180517,principal@sohs.school.nz,Michael Wright,http://www.sohs.school.nz,Frances Street,Rosebank,Balclutha,40 Frances Street,Rosebank,Balclutha,9232,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Runga
343,The Catlins Area School,03-4158036,learn@catlins.school.nz,Glenys Hanley,http://www.catlins.school.nz,1 Stuart Street,,Owaka,1 Stuart Street,,Owaka,9535,Rural settlement,Composite,,State,Co-Educational,,Te Tai Runga
344,Northern Southland College,03-2487121,office@nsc.school.nz,Peter Wilkinson,http://www.nsc.school.nz,Maria Street,,Lumsden,51 Maria Street,,Lumsden,9730,Rural settlement,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
345,St Peter's College (Gore),03-2089060,office@stpetersgore.school.nz,Kieran Udy,http://www.stpetersgore.school.nz,121 Kakapo Street,,Gore,PO Box 94,,Gore,9740,Small urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Runga
346,Takitimu Primary School,03-2257725,office@takitimu.school.nz,Geraldine Sumner,https://www.takitimu.school.nz,15 Evan Street,,Nightcaps,15 Evan Street,,Nightcaps,9630,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
347,Central Southland College,03-2367646,pa@csc.school.nz,Grant Dick,http://www.csc.school.nz/,174 MacKenzie Street,,Winton,174 MacKenzie Street,,Winton,9720,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Runga
348,Fiordland College,03-2497819,admin@fiordlandcollege.school.nz,Steven Mustor,http://www.fiordland.school.nz,4 Howden Street,,Te Anau,PO Box 23,,Te Anau,9640,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
349,Menzies College,03-2064979,admin@menzies.school.nz,Kath Luoni,http://www.menzies.school.nz,Alma Street,,Wyndham,4 Alma Street,,Wyndham,9831,Rural settlement,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
350,Waiau Area School,03-2266285,admin@was.school.nz,Andrew Pardoe-Burnett,http://www.was.school.nz/,47 Orawia Road,,Tuatapere,47 Orawia Road,,Tuatapere,9620,Rural settlement,Composite,,State,Co-Educational,,Te Tai Runga
351,Southland Boys' High School,03-2113003,mail@sbhs.school.nz,Ray Laurenson,http://www.sbhs.school.nz,181 Herbert Street,,Invercargill,PO Box 1543,,Invercargill,9840,Large urban area,Secondary (Year 7-15),,State,Boys School,,Te Tai Runga
352,Southland Girls' High School,03-2116030,excellence@southlandgirls.school.nz,John Grogan,http://www.southlandgirls.school.nz,328 Tweed Street,Georgetown,Invercargill,328 Tweed Street,Georgetown,Invercargill,9812,Large urban area,Secondary (Year 7-15),,State,Girls School,,Te Tai Runga
353,Verdon College,03-2169039,admin@verdoncollege.school.nz,Jarlath Kelly,http://www.verdoncollege.school.nz,Rockdale Road,,Invercargill,PO Box 645,,Invercargill,9840,Large urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Runga
354,Aparima College,03-2348900,office@aparima.school.nz,Aloma Williams,http://www.aparima.school.nz,33 Leader Street,,Riverton,33 Leader Street,,Riverton,9822,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
355,Rangiora New Life School,03-3136332,admin@rnls.school.nz,Stephen Walters,http://www.rnls.school.nz,2 Denchs Road,Southbrook,Rangiora,Denchs Road,,Rangiora,7400,Medium urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
356,Rudolf Steiner School (Chch),03-3370514,admin@ch.steiner.school.nz,Paul Kennedy,http://www.ch.steiner.school.nz,19 Ombersley Terrace,Opawa,Christchurch,PO Box 19944,Woolston,Christchurch,8241,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
357,Richmond View School,03-5780626 Ext 732,bursar@rvs.school.nz,Tom Jarrett,http://www.rvs.school.nz,26 Burleigh Road,,Blenheim,26 Burleigh Road,Redwoodtown,Blenheim,7201,Medium urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
358,Faith City School,06-3457737,admin@faithcity.school.nz,Martin Bullock,http://www.faithcity.school.nz,127 Springvale Road,Springvale,Whanganui,127 Springvale Road,Westmere,Whanganui,4501,Large urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
359,Michael Park School,09-5793083,admin@michaelpark.school.nz,Desmond Pemerika,http://www.michaelpark.school.nz/,55 Amy Street,Ellerslie,Auckland,PO Box 11224,Ellerslie Central,Auckland,1542,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Raro
360,Whangamata Area School,07-8658557,office@whangamata.school.nz,Alistair Luke,http://www.whangamata.school.nz/,Port Road,,Whangamata,PO Box 8,,Whangamata,3643,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
361,Excellere College,09-4352458,office@excellerecollege.school.nz,Andy Mouat,http://www.excellerecollege.school.nz,39 Great North Road,Kamo,Whangarei,PO Box 4237,Kamo,Whangarei,141,Large urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Raro
362,KingsWay School,09-4270900,,Graeme Budler,http://www.kingsway.school.nz,100 Jelas Road,,Red Beach,PO Box 54,,Red Beach,945,Large urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Raro
363,Hukarere Girls' College,06-8358511,info@hukarere.school.nz,Evelyn Leef,https://www.hukarere.ac.nz/,31 Napier Road,,Havelock North,PO Box 8902,,Havelock North,4157,Medium urban area,Secondary (Year 9-15),Secondary Māori Boarding School,State : Integrated,Girls School,,Te Tai Whenua
364,Springbank School,09-4075236,reception@springbank.school.nz,Tina Hallowes,http://www.springbank.school.nz,78 Waimate North Road,,Kerikeri,PO Box 404,,Kerikeri,245,Rural other,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
365,Totara College of Accelerated Learning,06-3746165,office@totaracollege.school.nz,Peter Ferrar,https://www.totaracollege.school.nz,3 Ruahine Street,,Dannevirke,PO Box 152,,Dannevirke,4942,Small urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
366,Pinehurst School,09-4140960,info@pinehurst.school.nz,Mike Waller,http://www.pinehurst.school.nz,75 Bush Road,Albany,Auckland,PO Box 302308,North Harbour,Auckland,751,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
367,ACG Strathallan,09-2950830,strathallan@acgedu.com,Daniel O'Connor,http://www.acgedu.com/nz/strathallan,50 Hayfield Way,,Karaka,50 Hayfield Way RD 1,,Papakura,2580,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
368,Hastings Christian School,06-8786696,office@hcs.school.nz,Gavin Clark,http://www.hcs.school.nz,1009 Copeland Road,Akina,Hastings,1009 Copeland Road,Akina,Hastings,4122,Large urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Whenua
369,Hamilton Christian School,07-8540010,admin@hamiltonchristian.school.nz,Shaun Brooker,http://www.hcswaikato.school.nz,4 North City Road,Rototuna North,Hamilton,4 North City Road RD 1,,Hamilton,3281,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Whenua
370,Southern Cross Campus,09-2550404,,Samantha Smith,http://www.southerncross.school.nz/,237 Buckland Road,Mangere,Auckland,PO Box 43242,Mangere,Auckland,2153,Major urban area,Composite,,State,Co-Educational,,Te Tai Raro
371,Kadimah School,09-3733072,office@kadimah.school.nz,Grayson Aspinall (Acting),http://www.kadimah.school.nz,514 Remuera Road,Remuera,Auckland,PO Box 68135,Newton,Auckland,1145,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Raro
372,St Dominic's College,06-3443814,info@sspx.org.nz,Rosemarie Fahey,http://www.sspx.org.nz/?page_id=15,12B York Street,Gonville,Whanganui,PO Box 7123,,Whanganui,4541,Large urban area,Secondary (Year 7-15),,Private : Fully Registered,Girls School,,Te Tai Whenua
373,Pukekohe Christian School,09-2386449,admin@pcschool.co.nz,Carolyn Cornu,http://www.pcschool.co.nz,82 Yates Road,,Pukekohe,PO Box 153,,Pukekohe,2340,Medium urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
374,Atea College,09-5705873,admin@ateacollege.com,Eunice Hall,http://www.ateacollege.com,21 Domain Road,Panmure,Auckland,21 Domain Road,Panmure,Auckland,1072,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
375,Ambury Park Centre,09-6340763,office@amburyparkcentre.org.nz,Claire Hall (Acting),http://www.amburyparkcentre.org.nz,66 Wellesley Road,Mangere Bridge,Auckland,PO Box 59141,Mangere Bridge,Manukau,2151,Major urban area,Secondary (Year 9-15),,Private : Fully Registered,Co-Educational,,Te Tai Raro
376,TKK Motuhake o Tawhiuau,07-3665817,tawhiuau.kura@tawhiuau.school.nz,Hine Anderson (Acting),http://www.tawhiuau.school.nz,43 Miro Drive,,Murupara,PO Box 56,,Murupara,3062,Small urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
377,Mana Tamariki,06-3564383,tari@manatamariki.school.nz,Kaimoni Soutar,,165 Grey Street,Palmerston North CBD,Palmerston North,165 Grey Street,,Palmerston North,4410,Large urban area,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
378,Manukau Christian School,09-2691050,admin@manukauchristian.school.nz,Scott Kennedy,http://www.manukauchristian.school.nz/,77 Rogers Road,Manurewa,Auckland,PO Box 75623,Manurewa,Manukau,2243,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
379,Zayed College for Girls,09-2550904,admin@zayedcollege.school.nz,Nazmeen Ahmed (Acting),http://www.zayedcollege.school.nz,44 Westney Road,Mangere,Auckland,PO Box 43251,Mangere,Auckland,2153,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Raro
380,OneSchool Global - New Zealand,09-6361255,support@nz.oneschoolglobal.com,Matt Morrison,https://www.oneschoolglobal.com,Level 1 The Precinct 40 Onehunga Mall,Onehunga,Auckland,PO Box 13979,Onehunga,Auckland,1643,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
381,Tongariro School,07-3868684,administration@tongariro.school.nz,Sharlyn Holt,http://www.tongariro.school.nz,22 Waipapa Road,,Turangi,22 Waipapa Road,,Turangi,3334,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
382,Wainuiomata High School,04-9383224,office@wainuiomatahigh.school.nz,Lea Vellenoweth (Acting),http://www.wainuiomatahigh.school.nz,60 Parkway,Wainuiomata,Lower Hutt,PO Box 43156,Wainuiomata,Lower Hutt,5048,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Runga
383,City Impact Church School,09-4770302,school@cityimpactchurch.com,Darrell Parratt,http://www.cityimpactchurch.school.nz,794 East Coast Road,Oteha,Auckland,PO Box 35211,Browns Bay,Auckland,753,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
384,Aquinas College,07-5432400,admin@aquinas.school.nz,Matt Dalton,http://www.aquinas.school.nz,183 Pyes Pa Road,Pyes Pa,Tauranga,183 Pyes Pa Road RD 3,,Tauranga,3173,Major urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Whenua
385,Wentworth College,09-424 3273,enquiries@wentworth.school.nz,Bruce Tong,http://www.wentworth.school.nz,65 Gulf Harbour Drive,Gulf Harbour,Whangaparaoa,PO Box 650,,Whangaparaoa,943,Large urban area,Secondary (Year 7-15),,Private : Fully Registered,Co-Educational,,Te Tai Raro
386,Taumata School,07-5790990,office@taumata.school.nz,Genavier Fuller,https://www.taumata.school.nz/,145 Mortlake Heights,Pyes Pa,Tauranga,145 Mortlake Heights,Pyes Pa,Tauranga,3112,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
387,Mt Hobson Academy,09-5231241,admin@mthobson.school.nz,Lisa Squire,http://www.mthobson.school.nz,,,,PO Box 74276,Greenlane,Auckland,1546,,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
388,Ngā Taiātea Wharekura,07-8506358,,Michelle Treadaway-Ohia,http://www.taiatea.school.nz,134 Rotokauri Road,Nawton,Hamilton,134 Rotokauri Road RD 9,,Hamilton,3289,Major urban area,Secondary (Year 9-15),,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
389,Sancta Maria College,09-2744081 Ext 221,admin@sanctamaria.school.nz,Andrew Mackenzie,http://www.sanctamaria.school.nz,319 Te Irirangi Drive,Howick South,Manukau,PO Box 64437,Botany,Manukau,2163,Major urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Raro
390,Putāruru College,07-883 8323,office@putarurucollege.school.nz,Rob Rogers,http://www.putarurucollege.school.nz,Junction Street,,Putaruru,PO Box 210,,Putaruru,3443,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
391,Taieri College,03-4893823,office@taieri.school.nz,David Hunter,http://www.taieri.school.nz,Green Street,,Mosgiel,PO Box 45,,Mosgiel,9053,Medium urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
392,Reefton Area School,03-7328421,office@ras.school.nz,Yvonne Catherwood,http://www.ras.school.nz/,10 Victory Street,,Reefton,10 Victory Street,,Reefton,7830,Small urban area,Composite,,State,Co-Educational,,Te Tai Runga
393,Te Kura o Hirangi,07-3867632,mainoffice@hirangi.maori.nz,Manaaki Otimi,,29 Mawake Place,,Turangi,29 Mawake Place,,Turangi,3334,Small urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
394,Te Aho o Te Kura Pounamu,04-4736841,enrolment@tekura.school.nz,Te Rina Leonard,http://www.tekura.school.nz,11 Portland Crescent,Thorndon,Wellington,Private Bag 39992,Lower Hutt,Wellington,5045,Major urban area,Correspondence School,,State,Co-Educational,,Te Tai Runga
395,Drury Christian School,09-2947332,drury@xtra.co.nz,Ron Bagrie,http://www.drurychurch.co.nz/,13 Sutton Road,,Drury,13 Sutton Road,,Drury,2113,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
396,Kimi Ora School,04-5675834,admin@kimiora.school.nz,Shirley Jones,http://kimiora.school.nz/,100 Walters Street,Naenae,Lower Hutt,PO Box 35017,Naenae,Lower Hutt,5041,Major urban area,Specialist School,Day Specialist,State,Co-Educational,,Te Tai Runga
397,Kingslea School,03-389 6708,admin@kingslea.school.nz,Tina Lomax,http://www.kingslea.school.nz,19 Pavitt Street,Richmond,Christchurch,PO Box 68,Rolleston,Christchurch,7643,Major urban area,Specialist School,Oranga Tamariki,State,Co-Educational,,Te Tai Runga
398,Te Whānau o Otu Mātua,03-3385089,annamccoy@halswellcollege.com,Stephen Evans,http://www.halswellcollege.com,15 Nash Road,Halswell,Christchurch,15 Nash Road,Aidanfield,Christchurch,8025,Major urban area,Specialist School,Residential Specialist School,State,Co-Educational,,Te Tai Runga
399,Salisbury School (Nelson),03-5448119,principal@salisbury.school.nz,Ellie Salcin-Watts,http://www.salisbury.school.nz,67 Salisbury Road,,Richmond,Private Bag 1,Richmond,Nelson,7050,Medium urban area,Specialist School,Residential Specialist School,State,Girls School,,Te Tai Runga
400,Twizel Area School,03-4350650,office@twizel.school.nz,Vicki McIntyre,https://www.twizel.school.nz,Mt Cook Street,,Twizel,Private Bag 952,,Twizel,7901,Small urban area,Composite,,State,Co-Educational,,Te Tai Runga
401,Ponatahi Christian School,06-3798840,office@ponatahi.school.nz,Jaap Reijersen van Buuren (Acting),http://www.ponatahi.school.nz/,6 Howard Street,,Carterton,6 Howard Street,,Carterton,5713,Small urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
402,Waiheke High School,09-3719000,enquiries@waihekehigh.school.nz,Cameron Flude,http://www.waihekehigh.school.nz,11 Donald Bruce Road,,Waiheke Island,11 Donald Bruce Road,Surfdale,Waiheke Island,1081,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
403,Catholic Cathedral College,03-9821690,admin@cathcollege.school.nz,Lee-Ann Nanai,http://www.cathcollege.school.nz,62 Ferry Road,Phillipstown,Christchurch,PO Box 10255,Phillipstown,Christchurch,8145,Major urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Runga
404,John Paul College,07-3478795,info@jpc.school.nz,Matt Czyrek (Acting),http://www.jpc.school.nz,Whitworth Road,Utuhina,Rotorua,PO Box 5040,Rotorua West,Rotorua,3044,Large urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Whenua
405,Mt Aspiring College,03-4430499,learn@mtaspiring.school.nz,Nicola Jacobsen,http://www.mtaspiring.school.nz,101 Plantation Road,,Wanaka,101 Plantation Road,,Wanaka,9305,Medium urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
406,Trinity Catholic College,03-4773408,admin@trinity.school.nz,Kate Nicholson,https://www.trinity.school.nz,340 Rattray Street,City Rise,Dunedin,PO Box 737,,Dunedin,9054,Major urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Runga
407,Waikato Waldorf School ( Rudolf Steiner),07-8558710,office@waikatowaldorf.school.nz,Anaru Morgan (Acting),http://www.waikatowaldorf.school.nz/,85 Barrington Drive,Rototuna,Hamilton,PO Box 12127,Chartwell Square,Hamilton,3248,Major urban area,Composite (Year 1-10),,State : Integrated,Co-Educational,,Te Tai Whenua
408,Al-Madinah School,09-2755195,info@al-madinah.school.nz,Asin Ali,http://www.al-madinah.school.nz/,8 Westney Road,Mangere,Auckland,PO Box 43246,Mangere,Manukau,2153,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Raro
409,Te Kura Toitu o Te Whaiti-nui-a-Toi,07-5958980,principal@tewhaiti.school.nz,Josephine Gage,,49 Minginui Road,,Te Whaiti,Private Bag 3013,Rotorua Mail Centre,Rotorua,3046,Rural other,Composite (Year 1-10),,State,Co-Educational,,Te Tai Whenua
410,Whitby Collegiate,04-2341070 Ext 710,office@whitbycollegiate.school.nz,Shelley Addison,https://www.whitbycollegiate.school.nz/,2 Starboard Lane,Whitby,Porirua,PO Box 995,Wellington,Porirua,6011,Large urban area,Secondary (Year 7-15),,Private : Fully Registered,Co-Educational,,Te Tai Runga
411,Aurora College,03-2116040,office@auroracollege.school.nz,Craig Taylor,http://www.auroracollege.school.nz,234 Regent Street,,Invercargill,PO Box 740,,Invercargill,9840,Large urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
412,Taihape Area School,06-3880130,jpearce@tas.school.nz,Michelle Cameron,http://www.tas.school.nz,26 Huia Street,,Taihape,PO Box 292,,Taihape,4742,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
413,Te Waha O Rerekohu Area School,06-8644853,rerekohu@xtra.co.nz,Lynn Burrell,http://www.tewahaorerekohu.school.nz/,3 Arawhena Street,,Te Araroa,PO Box 166,,Te Araroa,4050,Rural settlement,Composite,,State,Co-Educational,,Te Tai Whenua
414,Coastal Taranaki School,06-7524022,gemma.chambers@coastaltaranaki.school.nz,Sonia Mau,http://www.coastaltaranaki.school.nz,91 Carthew Street,,Okato,PO Box 8,,Okato,4348,Rural settlement,Composite,,State,Co-Educational,,Te Tai Whenua
415,James Hargest College,03-2176129,office@jameshargest.school.nz,Anna McDowall,http://www.jameshargest.school.nz,282 Layard Street,,Invercargill,282 Layard Street,Waverley,Invercargill,9810,Large urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Runga
416,Mission Heights Junior College,09-2777881,admin@mhjc.school.nz,Ian Morrison,http://www.mhjc.school.nz,Jeffs Road,Flat Bush,Auckland,PO Box 64448,Botany,Manukau,2163,Major urban area,Secondary (Year 7-10),,State,Co-Educational,,Te Tai Raro
417,Te Mātaitihi (Proposed opening date: 2027-01-25),,,,,22 Milns Road,Halswell,Christchurch,22 Milns Road,,Christchurch,,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
418,Tangaroa College Teen Parent Unit,09-2745764,office@tangaroa.school.nz,Chris Bean,http://www.tangaroa.school.nz,Haumia Way,Otara South,Auckland,PO Box 61476,Otara,Manukau,2159,Major urban area,Teen Parent Unit,,State,Co-Educational,,Te Tai Raro
419,Holy Family School (Wanaka),03-4432394,office@holyfamilywanaka.school.nz,Jane Rush,http://www.holyfamilyschoolwanaka.com,152 Aubrey Road,,Wanaka,PO Box 592,,Wanaka,9305,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
420,TKKM o Te Kura Kokiri,07-542 1864,Taari@kurakokiri.maori.nz,Mark Nicholas,http://www.kurakokiri.maori.nz,1223 Welcome Bay Road,Welcome Bay,Tauranga,PO Box 867 Seventh Avenue,,Tauranga,3140,Major urban area,Composite,,State,Co-Educational,Te Rūnanga nui o ngā Kura Kaupapa Māori o Aotearoa,Te Tai Whenua
421,Te Kura o Te Wainui-ā-Rua,06-3428123,office@tewainuiarua.school.nz,Tia Lawrence (Acting),,4502 Whanganui River Road,,Ranana,4502 Whanganui River Road RD 6,,Whanganui,4576,Rural other,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
422,Albany Senior High School,09-4519065,info@ashs.school.nz,Claire Amos,http://www.ashs.school.nz,536 Albany Highway,Albany,Auckland,PO Box 300380,Albany,North Shore City,752,Major urban area,Secondary (Year 11-15),,State,Co-Educational,,Te Tai Raro
423,Ormiston Senior College,09-551 2430,info@ormiston.school.nz,Tim Botting,http://www.ormiston.school.nz/,275 Ormiston Road,Flat Bush,Auckland,PO Box 217104,Botany Junction,Auckland,2164,Major urban area,Secondary (Year 11-15),,State,Co-Educational,,Te Tai Raro
424,Stonefields School,09-527 7721,admin@stonefields.school.nz,Sarah Martin,http://www.stonefields.school.nz/,81 Tihi Street,Stonefields,Auckland,81 Tihi Street,Stonefields,Auckland,1072,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Raro
425,Maraekakaho School,06-8749700,office@mkk.school.nz,Sandy Crawford,http://www.mkk.school.nz,68 Kereru Road,,Maraekakaho,68 Kereru Road RD 1,,Hastings,4171,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
426,Te Wharekura o Te Kaokaoroa o Patetere,07-8833780,office@kaokaoroa.school.nz,Keith Silveira,http://www.kaokaoroa.school.nz,117 Buckland Street,,Putaruru,117 Buckland Street,,Putaruru,3411,Small urban area,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
427,Mission Heights Primary School,09-2777888,admin@mhp.school.nz,Caroline Bush,http://www.mhp.school.nz,Jeffs Road,Flat Bush,Auckland,PO Box 64448,Botany,Manukau,2163,Major urban area,Contributing,,State,Co-Educational,,Te Tai Raro
428,ACG Sunderland,09-8387070,,Nathan Villars,http://www.acgedu.com/nz/sunderland,6 Waipareira Avenue,Henderson,Waitakere,6 Waipareira Avenue,Henderson,Waitakere,610,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
429,Te Matauru Primary,03-9283191,office@tematauru.school.nz,Clive Swale,http://tematauru.school.nz/,53-59 Pentecost Road,,Rangiora,59 Pentecost Road,,Rangiora,7400,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
430,Te Totara Primary School,07-8530039,receptionist@tetotara.school.nz,James Murray,http://www.tetotara.school.nz,31 Hector Drive,Rototuna North,Hamilton,PO Box 28134,Rototuna,Hamilton,3256,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
431,Knights Stream School- Mingimingi Hautoa,03-9281050,office@knightsstream.school.nz,Michael Molloy,http://www.knightsstream.school.nz/,1 Killarney Avenue,Halswell,Christchurch,1 Killarney Avenue,Halswell,Christchurch,8025,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
432,West Rolleston Primary School,03-595 0952,office@westrolleston.school.nz,Sylvia Fidow,http://www.westrolleston.school.nz,327 Dunns Crossing Road,,Rolleston,327 Dunns Crossing Road RD 8,,Christchurch,7678,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
433,Ararira Springs Primary- Te Puna o Ararira,03-420 0888,office@ararira.school.nz,Claire Howison,http://www.ararira.school.nz/,18 Russ Drive,,Lincoln,18 Russ Drive,,Lincoln,7672,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
434,Shotover Primary School,03-4090005,execofficer@shotover.school.nz,Benjamin Witheford,http://www.shotover.school.nz,57 Stalker Road,,Queenstown,57 Stalker Road,Lower Shotover,Queenstown,9304,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
