Sr No,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),County Description,Email,Phone No.,Principal Name,Local Authority Description,Ethos Description,Female,Male,Total
663,LOUGHFOUDER N S,Knocknagoshel,Tralee,Co. Kerry,Kerry,loughfouderns1@gmail.com,06846500,Mrs Elizabeth Lane,Kerry County Council,Catholic,9,11,20
664,S N CILL CONAILL,Corraneena,Kilconnell,Ballinasloe,Galway,info@kilconnellns.ie,0909686820,Denise Clancy,Galway County Council,Catholic,39,26,65
665,S N PADRAIG NAOFA,Ballaghlea,Ballygar,Co. Galway,Galway,info@ballaghleans.ie,0906660255,Anne Marie Farrell,Galway County Council,Catholic,45,61,106
666,STONEPARK N S,Stonepark,Co. Longford,,Longford,info@stoneparkns.ie,0433346036,Micheál O'Sullivan,Longford County Council,Catholic,114,125,239
667,S N CILL FHEICIN,Rakerin,Gort,Co. Galway,Galway,office@kilbeacantyns.ie,091632382,Bryan Keely,Galway County Council,Catholic,29,40,69
668,GLEBE NS,Church Hill,Wicklow Town,Co. Wicklow,Wicklow,glebewicklow@gmail.com,040468310,Sandra Bryan,Wicklow County Council,Church Of Ireland,98,112,210
669,KILLYGARRY N S,Killygarry,Co. Cavan,,Cavan,info@killygarryns.ie,0494362144,Serena Prior,Cavan County Council,Catholic,98,100,198
670,SCOIL NEASSAIN,Mungret,Co. Limerick,,Limerick,principal@stnessans.ie,061229911,Marie McKeogh,Limerick County Council,Catholic,353,315,668
671,S N NAOMH PADRAIG,Gorteennaglogh,Renvyle,Co. Galway,Galway,office@tullyschool.com,09543627,Barbara Warbout,Galway County Council,Catholic,8,20,28
672,S N ARD,Aird Thiar,Carna,Co. na Gaillimhe,Galway,snardthiar@gmail.com,0872212977,Bríd Ní Mhaoilchiaráin,Galway County Council,Catholic,9,4,13
673,KNOCKAVILLA N S,Killenure,Dundrum,Co. Tipperary,Tipperary,knockavillans@gmail.com,06271533,Aoife Tierney,Tipperary (Sr) County Council,Catholic,76,71,147
674,DERRYCREHA N S,Derrycreha,Glengarriff,Co. Cork,Cork,derrycrehans@gmail.com,02763143,Mark Lynch,Cork County Council,Catholic,15,13,28
675,ABBEYSTREWRY N S,Castletownsend Road,Skibbereen,Co. Cork,Cork,office@abbeyns1.ie,02821261,Jean Fuller,Cork County Council,Church Of Ireland,83,59,142
676,CLOUGHANOWER N S,Cloughanover,Headford,Co. Galway,Galway,cloughanoverschool@gmail.com,09335315,Paul Brett,Galway County Council,Catholic,38,28,66
677,ST FEIGHANS MXD N S,Fore,Castlepollard,Co. Westmeath,Westmeath,forens.ias@eircom.net,0449666181,Monica Fanning,Westmeath County Council,Catholic,57,43,100
678,KILLEA N S,Killea,Templemore,Co. Tipperary,Tipperary,office@killeans.ie,050431939,Mary Kennedy,Tipperary (Nr) County Council,Catholic,12,7,19
679,ST COLUMBAS N S MXD,Waterloo Avenue,North Strand,Dublin 3,Dublin,principal@stcolumbasns.com,018556805,Daniel Collins,Dublin City Council,Church Of Ireland,33,57,90
680,KILMALEY N S,Kilmaley,Ennis,Co. Clare,Clare,kns@kilmaleyns.ie,0656839360,Leonard McNamara,Clare County Council,Catholic,43,45,88
681,WANDESFORDE MIXED N S,Castlecomer,Co. Kilkenny,,Kilkenny,info@wandesforde.ie,0564441517,Susan Peavoy,Kilkenny County Council,Church Of Ireland,22,30,52
682,CURRACLOE N S,Curracloe,Enniscorthy,Co. Wexford,Wexford,info@curracloens.ie,0539137283,Emer McCrea,Wexford County Council,Catholic,34,39,73
683,S N B CURNANOOL,Cornanool,Castlebar,Co. Mayo,Mayo,eolas@cornanoolns.ie,0949026569,Dermot Walsh,Mayo County Council,Catholic,31,35,66
684,SCOIL MHUIRE B&C,Na Doirí Beaga,Leitir Ceanainn,Co. Dhún na nGall,Donegal,scoilmhuirebc@gmail.com,0749531557,John McGeever,Donegal County Council,Catholic,46,51,97
685,GORTJORDAN N S,Kilmaine,Claremorris,Co. Mayo,Mayo,gortjordanns@gmail.com,09333470,Erica Gibbons,Mayo County Council,Catholic,5,6,11
686,South City CNS,Whitefriar Street,Dublin 8,,Dublin,office@southcitycns.cdetb.ie,014757566,Mary Marren,Dublin City Council,Multi Denominational,80,68,148
687,TOMGRANEY N S,Tuamgraney,Co. Clare,,Clare,info@tuamgraneyns.ie,061921550,Marie Moroney,Clare County Council,Catholic,33,14,47
688,SCOIL NAOMH FAINCHE,School Lane,Collon,Co. Louth,Louth,collonnationalschool@gmail.com,0419826594,Anne-Marie Martin,Louth County Council,Catholic,96,94,190
689,CARYSFORT NS,Convent Road,Blackrock,Co. Dublin,Dublin,office@carysfortns.ie,012885803,Norma Linehan,Dun Laoghaire Rathdown,Catholic,330,253,583
690,AINBHTHIN NAOFA,Rosscahill East,Rosscahill,Co. Galway,Galway,info@stannins.ie,091550316,Pádraig Ó Duinneacha,Galway County Council,Catholic,118,143,261
691,EIDHNEACH N S,Carrowkeel,Inagh,Co. Clare,Clare,office@inaghschool.ie,0656836778,Caroline McGeary,Clare County Council,Catholic,59,91,150
692,DOON CONVENT N S,Doon,Co. Limerick,,Limerick,conventns@gmail.com,061380149,Derek Walsh,Limerick County Council,Catholic,88,28,116
693,SCOIL CHOLMCHILLE,Ballymena,Glengad,Malin,Donegal,glengadns@gmail.com,0749379211,Mary Harkin,Donegal County Council,Catholic,36,41,77
694,CARRAROE N S,Tonafortes,Carraroe,Co. Sligo,Sligo,office@sne.ie,0719161843,Roy Mitchell,Sligo County Council,Catholic,180,209,389
695,S N MHUIRE,Fiddaun,Ardrahan,Co. Galway,Galway,secretary@ballyglassns.com,091635424,Nicola Lynskey,Galway County Council,Catholic,33,25,58
696,S N na Cloiche Moire,Ballyraggan,Rathvilly,Co. Kildare,Kildare,office@bigstonens.ie,0599161171,Aoife Byrne,Kildare County Council,Catholic,6,14,20
697,DALKEY N S (2),Harbour Road,Dalkey,Co. Dublin,Dublin,principal@stpatricks2.ie,012803647,Rachel Dolan,Dun Laoghaire Rathdown,Church Of Ireland,41,60,101
698,CLOONTAGH MIXED N S,Cloontagh,Killashee,Co. Longford,Longford,principal@cloontaghns.ie,0433325450,Leonie Beirne,Longford County Council,Catholic,5,9,14
699,CASTLETOWN RD CONVENT,Castletown Road,Dundalk,Co. Louth,Louth,castletowngs@gmail.com,0429334574,Lisa Murphy,Louth County Council,Catholic,191,,191
700,BALLAGHKEENE N S,The Ballagh,Enniscorthy,Co. Wexford,Wexford,secretary@ballaghkeenens.ie,0539136500,Darren Nolan,Wexford County Council,Catholic,55,95,150
701,COLEHILL MIXED N S,Colehill,Co. Longford,,Longford,scoilsinneach@gmail.com,0449357466,Brenda Lavelle,Longford County Council,Catholic,44,52,96
702,S N Baile an Bhuitléirigh,Butlerstown,Co. Waterford,,Waterford,office@butlerstownschool.com,051384304,Maria O'Connor,Waterford County Council,Catholic,107,135,242
703,AUGHRIM N S,Hillstreet,Carrick-on-Shannon,Co. Roscommon,Roscommon,jfaughnan81@hotmail.com,0719635596,John Faughnan,Roscommon County Council,Catholic,23,8,31
704,MURROE NATIONAL SCHOOL,Murroe,Dunfanaghy,Co. Donegal,Donegal,murroenationalschool@gmail.com,0749136702,Anne Sweeney,Donegal County Council,Catholic,20,30,50
705,SN AN FHAIRCHE,An Fháirche,via Clár Chlainne Mhuiris,Co. na Gaillimhe,Galway,snanfhairche@gmail.com,0860254229,Bridie Seoighe,Galway County Council,Catholic,30,32,62
706,RATHGAR N S,Rathgar Avenue,Dublin 6,,Dublin,rathgarns@rathgarns.ie,014907661,Ivan Pearson,Dublin City Council,Methodist,46,48,94
707,SCOIL RONAIN,Oileán Trá Bhán,Leitir Móir,Co. na Gaillimhe,Galway,scoilronain2010@gmail.com,091551345,Áine Ní Fhlatharta,Galway County Council,Catholic,12,3,15
708,KINSALE N S,Knocknabohilly,Kinsale,Co. Cork,Cork,principal@stmultosens.ie,0214774106,Jill Horan,Cork County Council,Church Of Ireland,32,23,55
709,SCOIL BHRIDE,Mountnugent,Co. Cavan,,Cavan,mountnugentnationalschool@gmail.com,0498540390,Jane Browne,Cavan County Council,Catholic,50,44,94
710,AGHACASLA N S,Aughacasla South,Camp,Tralee,Kerry,info@aughacaslans.com,0667139456,David Doyle,Kerry County Council,Catholic,56,51,107
711,KILMYSHALL N S,Kilmyshall,Bunclody,Co. Wexford,Wexford,kilmyshallns1970@gmail.com,0539377451,Andrea Rigley,Wexford County Council,Catholic,68,87,155
712,DUNMANWAY BOYS SENIOR NATIONAL SCHOOL,Dunmanway,Co. Cork,,Cork,office@scoilphadraigdunmanway.ie,0238845458,Gráinne Ní Shúilleabháin,Cork County Council,Catholic,,89,89
713,CAPPAWHITE N S,Cappagh,Cappawhite,Co. Tipperary,Tipperary,cappawhitens2@gmail.com,06275363,Áine Morrow,Tipperary (Sr) County Council,Catholic,59,67,126
714,IRISHTOWN N S,Claremorris,Co. Mayo,,Mayo,irishtownnsmayo@gmail.com,0949364559,Seán Ó Raghallaigh,Mayo County Council,Catholic,31,39,70
715,SCOIL LACHTAIN NAOFA,Cill na Martra,Maigh Chromtha,Co. Chorcaí,Cork,scoil.cillnamartra@gmail.com,02640000,Mary Uí Ríordáin,Cork County Council,Catholic,40,48,88
716,Scoil San Eoin,Redcross,Co. Wicklow,,Wicklow,lgreeneredcross@gmail.com,040441727,Linda Greene,Wicklow County Council,Catholic,19,18,37
717,BAREFIELD MIXED N S,Barefield,Ennis,Co. Clare,Clare,info@barefieldns.com,0656820303,Gerard Ruane,Clare County Council,Catholic,214,176,390
718,S N PEADAR AGUS POL,Ballon,Co. Carlow,,Carlow,ballonns1@gmail.com,0599159280,Mary Carroll,Carlow County Council,Catholic,123,116,239
719,MARYBORO N S,Summerhill,The Downs,Portlaoise,Laois,office@maryboroughnationalschool.ie,0578632019,Brid Ann Buggie,Laois County Council,Church Of Ireland,52,44,96
720,CLONDROHID N S,Clondrohid,Macroom,Co. Cork,Cork,clondrohid@gmail.com,02661800,Jim Lucey,Cork County Council,Catholic,121,155,276
721,ACHILL SOUND CONVENT NS,The Points,"Achill Sound,",Achill,Mayo,principal@achillsoundns.ie,09845705,Laura Edel McGinty,Mayo County Council,Catholic,11,9,20
722,DOOKINELLA N.S.,Low River,Dookinella,Keel,Mayo,principal@dookinellans.ie,09843322,Kathleen Smyth,Mayo County Council,Catholic,14,12,26
723,DRUMEELA N S,Drumeela,Carrigallen PO,Co. Leitrim,Leitrim,drumeelans@gmail.com,0494333305,Edel McCartin,Leitrim County Council,Catholic,14,16,30
724,GUSSERANE N S,Gusserane,New Ross,Co. Wexford,Wexford,gusseranens@gmail.com,051564031,Adeline Foxe,Wexford County Council,Catholic,42,33,75
725,ST JOSEPHS N S,Kilmuckridge,Gorey,Co. Wexford,Wexford,stjosephspskilmuckridge@gmail.com,0539130144,Cornelius Hourihane,Wexford County Council,Catholic,94,99,193
726,ST LEONARDS N S,St. Leonards,Ballycullane,New Ross,Wexford,stleonardsns@gmail.com,051562570,Caitriona McGrath,Wexford County Council,Catholic,52,60,112
727,St Mary's National School,Castlefinn,Lifford,,Donegal,secretary@stmarysnscastlefinn.com,0749146206,Sharon Murray,Donegal County Council,Catholic,79,76,155
728,ZION PARISH PRIMARY SCHOOL,Bushy Park Road,Rathgar,Dublin 6,Dublin,office@zionparishschool.ie,014910065,Jane Malone,Dublin City Council,Church Of Ireland,49,42,91
729,S N NAOMH EOIN,Ballinameen,Boyle,Co. Roscommon,Roscommon,office@ballinameenns.ie,0719668344,Finbar McDermott,Roscommon County Council,Catholic,30,17,47
730,RATHFARNHAM PARISH N S,Washington Lane,Rathfarnham,Dublin 14,Dublin,principal@rpns.ie,014943470,Eoin Leonard,South Dublin County Council,Church Of Ireland,112,103,215
731,RAY N S,Ray,Manorcunningham,Co. Donegal,Donegal,office@rayns.net,0749157364,Tracy Doran,Donegal County Council,Church Of Ireland,23,28,51
732,MUIRE GAN SMAL,Old Chapel Lane,Castleisland,Co. Kerry,Kerry,info@muiregansmal.ie,0667141147,Seamus Moynihan,Kerry County Council,Catholic,83,40,123
733,KILTEEVAN N S,Kilteevan,Co. Roscommon,,Roscommon,kilteevannsoffice@gmail.com,0906625936,Anna Coyle,Roscommon County Council,Catholic,14,18,32
734,ALL SAINTS NATIONAL SCHOOL,Main Street,Carnew,Co. Wicklow,Wicklow,school@allsaintsnscarnew.com,0539426513,Andrea McAssey,Wicklow County Council,Church Of Ireland,14,9,23
735,GLASNEVIN N S,Botanic Avenue,Glasnevin,Dublin 9,Dublin,secretary.gns@gmail.com,018373727,Olive Walsh,Dublin City Council,Church Of Ireland,28,55,83
736,S N AN CHLOCHAN,An Clochán,Co. Chiarraí,,Kerry,snchlochain@gmail.com,0667138292,Rachel Ní Bhuchalla,Kerry County Council,Catholic,20,35,55
737,PASSAGE EAST N S,Crooke,Passage East,Co. Waterford,Waterford,office@passageeastns.ie,051382509,Philip O Leary,Waterford County Council,Catholic,44,57,101
738,S N Rae na nDoiri,Rae na nDoirí,Maigh Chromtha,Co. Chorcaí,Cork,reidhnandoiri2@gmail.com,02645441,Cian Ó Duinnín,Cork County Council,Catholic,12,12,24
739,LYRE A CROMPANE N S,Glashanacree,Lyracrompane,Co. Kerry,Kerry,principal@lyrecns.ie,06848233,Eilish Lyons,Kerry County Council,Multi Denominational,14,14,28
740,SCOIL ASICUS,Golf Course Road,Strandhill,Co. Sligo,Sligo,office@strandhillnationalschool.ie,0719168154,Joseph Fogarty,Sligo County Council,Catholic,128,124,252
741,SHRONELL N S,Lattin,Co. Tipperary,,Tipperary,shronellns.ias@gmail.com,06255189,Orla Hickey,Tipperary (Sr) County Council,Catholic,27,31,58
742,CORCLOUGH NS,Corclough West,Belmullet,Co. Mayo,Mayo,corcloughns2@gmail.com,09782381,Aishling Carey,Mayo County Council,Catholic,36,43,79
743,S N na hEaglaise,Ahascragh,Ballinasloe,Co. Galway,Galway,eglishprimaryschool@gmail.com,0909688874,Siobhán Fitzgerald,Galway County Council,Catholic,17,20,37
744,ST MARYS N S,Aghamore,Ballyhaunis,Co. Mayo,Mayo,aghamorens.ias@gmail.com,0949367597,Deirdre Bracken - Acting Principal,Mayo County Council,Catholic,39,54,93
745,S N TREASA NAOFA MXD,Castletown,Kilflynn,Co. Kerry,Kerry,knschool@gmail.com,0667135633,Nora Falvey,Kerry County Council,Catholic,53,52,105
746,MERCY CONVENT PRIMARY SCHOOL,Sallins Road,Naas,Co. Kildare,Kildare,info@mercyconvent.ie,045876410,Cathal Ruane,Kildare County Council,Catholic,560,47,607
747,ENNIS N S,Ashline,Kilrush Road,Ennis,Clare,info@ennisns.ie,0656829158,Ray McInerney,Clare County Council,Catholic,286,329,615
748,S N NAOMH PADRAIG,Elphin Street,Strokestown,Co. Roscommon,Roscommon,stpatricksbns@gmail.com,0719633409,Carmel Tighe,Roscommon County Council,Catholic,,44,44
749,ST STEPHENS N S,25 Patrick Street,Waterford,,Waterford,ststephensbns@gmail.com,051871716,Sinead Lowe,Waterford City Council,Catholic,,363,363
750,S N SAN VINSEANN CAILIN,North William Street,Dublin 1,,Dublin,Stvincentsnws1@gmail.com,018740048,Margaret O'Connor,Dublin City Council,Catholic,208,,208
751,S N CILLINI DIOMA,Killeendeema East,Loughrea,Co. Galway,Galway,kilnadeemans.principal@gmail.com,091842532,Gary Winters,Galway County Council,Catholic,74,73,147
752,KNOCKBRIDGE MIXED N S,Knockbridge,Dundalk,Co. Louth,Louth,office@knockbridgens.com,0429374443,Brian McDonnell,Louth County Council,Catholic,134,151,285
753,SCOIL BHRÍDE,Cannistown,Navan,Co. Meath,Meath,principal.cannistown@gmail.com,0469029779,Kevin Mullin,Meath County Council,Catholic,211,181,392
754,S N SHEAMAIS,Barnacogue,Swinford,Co. Mayo,Mayo,barnacoguens@gmail.com,0949367440,Lorraine Bullard,Mayo County Council,Catholic,7,11,18
755,ARDVARNEY MXD N S,Cashel,Dromahair,Co. Leitrim,Leitrim,ardvarneyns@gmail.com,0719164757,Paula Loughlin,Leitrim County Council,Catholic,14,16,30
756,KILLYCONNAN N S,Stradone,Co. Cavan,,Cavan,killyconnanns@gmail.com,0494330540,Fidelma Daly,Cavan County Council,Catholic,28,44,72
757,ST BERNARDS MIXED N S,Abbeylara,Co. Longford,,Longford,stbernardsns@gmail.com,0436686806,Breda Kennedy,Longford County Council,Catholic,10,19,29
758,HAROLD BOYS N S,St. Patrick's Road,Dalkey,Co. Dublin,Dublin,info@haroldboysdalkey.ie,012856193,Pauline Lennon,Dun Laoghaire Rathdown,Catholic,,106,106
759,BALLINAGREE MXD N S,Ballinagree,"Macroom,",,Cork,office@bmns.ie,02642466,SHANE LEHANE,Cork County Council,Catholic,37,31,68
760,NAOMH MICHEAL,Donaghmoyne,Carrickmacross,Co Monaghan,Monaghan,stmichaelsnsdonaghmoyne@gmail.com,0429662284,Fiona Whelan,Monaghan County Council,Catholic,51,57,108
761,LISDOONAN N S,Lisdonnan,Carrickmacross,Co. Monaghan,Monaghan,office@lisdoonanns.ie,0429662375,Ronan Duffy,Monaghan County Council,Catholic,72,78,150
762,NAOMH DOMINIC N S,Kenagh,Co. Longford,,Longford,naomhdominicns@gmail.com,0433322456,Miriam Dennigan,Longford County Council,Catholic,53,56,109
763,MOUNT BRUIS N S,Mount Bruis,Tipperary Town,,Tipperary,mountbruis6@gmail.com,0861805174,Cathy Cunningham,Tipperary (Sr) County Council,Catholic,33,22,55
764,THE ROWER MIXED N S,The Rower,Thomastown,Co. Kilkenny,Kilkenny,therowerschool@gmail.com,051423838,MARY MC CORMACK,Kilkenny County Council,Catholic,63,52,115
765,BALLINTOTAS N S,Ballintotas,Castlemartyr,Co. Cork,Cork,ballintotasns@gmail.com,0214667513,Irene Finn,Cork County Council,Catholic,50,50,100
766,CASHELSHANAGHAN N S,Ballymaleel,Letterkenny,Co. Donegal,Donegal,cashelshanaghan@gmail.com,0749151803,Julie Carr,Donegal County Council,Presbyterian,13,15,28
767,CARRIGDUFF NAT SCHOOL,Carrigduff,Bunclody,Enniscorthy,Carlow,officecarrigduffns@gmail.com,0539377346,Carolyn Good,Carlow County Council,Church Of Ireland,44,41,85
768,NAOMH CAILLIN,Commons,Fenagh,Co. Leitrim,Leitrim,fenaghns@gmail.com,0719645244,Orla Redican,Leitrim County Council,Catholic,67,48,115
769,Scoil an tStratha Mhóir,Mín an Lábáin,Leitir Ceanainn,Co. Dhún na nGall,Donegal,stramore99@gmail.com,0749137454,Ursula McDevitt,Donegal County Council,Catholic,28,36,64
770,ARDKEERIN N S,Ardeeran,Riverstown,Co. Sligo,Sligo,admin@ardkeeran.com,0719165411,Edel Lavin,Sligo County Council,Catholic,56,55,111
771,ANNAGH N S,Annagh,Miltown Malbay,Co. Clare,Clare,secretary@annaghns.com,0657084850,Caroline O'Dea,Clare County Council,Catholic,47,34,81
772,CAHERLINE N S,Caherline,Caherconlish,Co. Limerick,Limerick,secretary@caherlinens.ie,061351657,Gearóid Power,Limerick County Council,Catholic,102,81,183
773,ST PATRICKS GIRLS NS,Cambridge Road,Ringsend,Dublin 4,Dublin,ringsendgns@gmail.com,016685928,Brenda Brooks,Dublin City Council,Catholic,143,,143
774,DON N S,Cortoonmore,Ballaghaderreen,,Roscommon,office@thedonnationalschool.com,0949880478,Emma Callaghan,Roscommon County Council,Catholic,23,15,38
775,QUIGNAMANGER N S,Creggs Road,Ballina,Co. Mayo,Mayo,quaynationalschool@gmail.com,09622842,Mr Seán Gallagher,Mayo County Council,Catholic,168,196,364
776,S N N MAOLMHAODHAGH C,Anne Stret,Dundalk,Co. Louth,Louth,principal@stmalachysgirls.ie,0429338156,Brigid Mary Galligan,Louth County Council,Catholic,233,,233
777,S N N MAOLMHAODHAGH N,Anne Street,Dundalk,Co. Louth,Louth,office@stmalachysinfants.ie,0429338130,Teresa McCarthy,Louth County Council,Catholic,112,108,220
778,CLOONEY N S,Carrahan,Tulla,Co. Clare,Clare,clooneyns@gmail.com,0656835806,Marie Minogue,Clare County Council,Catholic,25,23,48
779,TANEY N S,Sydenham Villas,Dundrum,Dublin 14,Dublin,rfraser@taneyschool.ie,012985015,Rachel Fraser,Dun Laoghaire Rathdown,Church Of Ireland,182,202,384
780,Scoil na gCreagacha Dubha,Sandy Lane,Blackrock,Co. Louth,Louth,office@blackrockns.ie,0429321598,Catherine Dempsey,Louth County Council,Catholic,248,255,503
781,STREAMSTOWN MIXED N S,Streamstown,Co. Westmeath,,Westmeath,ricoclinton@yahoo.com,0449226901,Richard Clinton,Westmeath County Council,Catholic,51,56,107
782,GAILE N S,Holycross,Thurles,Co. Tipperary,Tipperary,gaile.ias23@gmail.com,0879663959,Donal Ryan,Tipperary (Sr) County Council,Catholic,16,19,35
783,KILDYSART N S,Ennis Road,Kildysart,Co. Clare,Clare,kildysartns.ias@gmail.com,0656832477,Kathleen Ryan,Clare County Council,Catholic,64,58,122
784,DALYSTOWN N S,Dalystown,Mullingar,Co. Westmeath,Westmeath,dalystownns@gmail.com,0449223604,Brendan Moore,Westmeath County Council,Catholic,35,46,81
785,ATHLEAGUE N S,Athleague,Co. Roscommon,,Roscommon,info@athleaguenationalschool.ie,0906663420,Avril Egan,Roscommon County Council,Catholic,49,56,105
786,ST GEORGES N S,Naul Road,Balbriggan,Co. Dublin,Dublin,office@stgeorgesns.com,018410107,Elaine Browne,Fingal County Council,Church Of Ireland,167,172,339
787,GLENBEG N S,Glenbeg,Dungarvan,Co. Waterford,Waterford,office@glenbegnationalschool.ie,05843266,Catherine Fitzgerald,Waterford County Council,Catholic,64,79,143
788,ST MICHAELS NS,Sexton Street,Limerick,,Limerick,stmichaelsinfantschool@gmail.com,061317672,Tracie Tobin,Limerick City Council,Catholic,48,78,126
789,CLONBULLOGUE N S,Clonbullogue,Co. Offaly,,Offaly,office@clonbulloguens.ie,0469730123,Suzanne Monaghan,Offaly County Council,Catholic,38,46,84
790,Bunscoil Louis Naofa,Cloughvalley,Carrickmacross,Co. Monaghan,Monaghan,office@bunscoil.ie,0429661808,Valerie Norton,Monaghan County Council,Catholic,258,,258
791,S N BAILE NUA,Baile Nua,Maigh Cuilinn,Co. na Gaillimhe,Galway,eolas@scoilbhailenua.ie,091555040,Clíodhna Davoren,Galway County Council,Catholic,32,30,62
792,S N MHUIRE,Castlegal,Cliffoney,Co. Sligo,Sligo,castlegalns@yahoo.ie,0719166758,Roisin O'Grady,Sligo County Council,Catholic,8,7,15
793,CARIGEEN N S,Carrigeen,Co. Kilkenny,,Kilkenny,carrigeen.scoil@gmail.com,051895423,Sinead Murphy,Kilkenny County Council,Catholic,48,75,123
794,S N NAOMH MHUIRE,Knockconor,Keash,Ballymote,Sligo,keashns@gmail.com,0719189166,Caroline O'Dowd,Sligo County Council,Catholic,19,28,47
795,Scoil Abán Naofa,Baile Mhúirne,Maigh Chromtha,Co. Chorcaí,Cork,oifig@scoilaban.com,02645407,Siobhán Uí Bhuachalla,Cork County Council,Catholic,73,64,137
796,STONEHALL N S,Stonehall,Newmarket-on-Fergus,Co. Clare,Clare,stonehallschool@gmail.com,061362863,Diarmaid McMahon,Clare County Council,Catholic,46,55,101
797,CAMOLIN N S,Camolin,Enniscorthy,Co. Wexford,Wexford,office@camolinnationalschool.com,0539383455,Elaine Bolger,Wexford County Council,Catholic,39,36,75
798,SHILLELAGH NO 1 N S,Ballard,Shillelagh,Co. Wicklow,Wicklow,shillelaghno1@gmail.com,0539429141,Sonya Burgess,Wicklow County Council,Church Of Ireland,12,11,23
799,S N MICHIL NAOFA,Mullinahone,Thurles,Co. Tipperary,Tipperary,secretary@mullinahonens.ie,0529153304,Tom Butler,Tipperary (Sr) County Council,Catholic,78,59,137
800,RIVERCHAPEL N S,Riverchapel,Gorey,Co. Wexford,Wexford,secretary@riverchapelns.com,0539425540,Martina Prendergast,Wexford County Council,Catholic,152,152,304
801,KILLALOE BOYS N S,Convent Hill,Killaloe,Co. Clare,Clare,principal@killaloeboysns.ie,061376407,Kieran Corcoran,Clare County Council,Catholic,,104,104
802,ROCKFIELD N S,Coolaney,Co. Sligo,,Sligo,info@rockfieldns.eu,0719130539,Marlene Scanlon,Sligo County Council,Catholic,86,88,174
803,DROMAGH MIXED N S,Dromagh,Mallow,Co. Cork,Cork,nsdromagh@gmail.com,02956067,James McAuliffe,Cork County Council,Catholic,8,16,24
804,DRUMLEASE N S,Drumlease,Dromahair,Co. Leitrim,Leitrim,drumleasens.ias@gmail.com,0719164586,Marie Brennan,Leitrim County Council,Catholic,80,72,152
805,MOUNT BOLUS N S,Mount Bolus,Tullamore,Co. Offaly,Offaly,mountbolusns@gmail.com,0579354946,Michelle Balfe,Offaly County Council,Catholic,11,14,25
806,SN BAILE THOMAIS,Ballythomas,Gorey,Co. Wexford,Wexford,ballythomasns@gmail.com,0539428343,Katherine Byrne,Wexford County Council,Catholic,39,18,57
807,CONNOLLY N S,Connolly,Ennis,Co. Clare,Clare,connollynationalschool@gmail.com,0656839550,Sean O'Neill,Clare County Council,Catholic,17,10,27
808,KILCROHANE N S,Kilcrohane,Bantry,Co. Cork,Cork,kilcrohanens@gmail.com,02767285,Noreen O'Sullivan,Cork County Council,Catholic,14,14,28
809,BRIDESWELL N S,Brideswell,Athlone,Co. Roscommon,Roscommon,brideswellns@gmail.com,0906488272,Orla Fogarty,Roscommon County Council,Catholic,27,41,68
810,OULART N S,Oulart,Gorey,Co. Wexford,Wexford,oulartns2@oulartns.com,0539136177,Gráinne Ryan,Wexford County Council,Catholic,60,60,120
811,BALLYCANEW N S,Ballycanew,Gorey,Co. Wexford,Wexford,ballycanewns@gmail.com,0539427496,Seamus Dempsey,Wexford County Council,Catholic,98,126,224
812,FAIRYMOUNT N S,Fairymount,Castlerea,Co. Roscommon,Roscommon,info@fairymountns.ie,0949870655,Catheriona Golden,Roscommon County Council,Catholic,20,19,39
813,KILLAVILLE N S,Killavil,Ballymote,CO. Sligo,Sligo,killavilns@gmail.com,0719182795,Mr Bill Carty,Sligo County Council,Catholic,9,10,19
814,TRUMMERA N S,Tromaire,Maighean Rátha,Co. Laoise,Laois,gaelscoilthromaire00@gmail.com,0578756306,Áine Mhic Aodha Bhuí,Laois County Council,Catholic,14,20,34
815,KILDALLON N S,Kildallan,Ballyconnell,Co. Cavan,Cavan,office@kildallanns.ie,0499526721,Pearse Mc Kenna,Cavan County Council,Catholic,27,19,46
816,BALLYSHANNON N S,Ballyshannon,Kilcullen,Co. Kildare,Kildare,ballyshannonprimary@gmail.com,045485309,Lorraine McGovern,Kildare County Council,Catholic,54,61,115
817,KILCONLY N S,Kilconly,Tuam,Co. Galway,Galway,info@kilconlyns.com,09347775,Rebecca Nolan,Galway County Council,Catholic,55,35,90
818,GLOUNTHAUNE MIXED N.S.,Glounthane,Co. Cork,,Cork,principal@sncn.ie,0214353645,Damien Irwin,Cork County Council,Catholic,201,221,422
819,LEAFFONEY N S,Leaffoney,Kilglass,Co. Sligo,Sligo,leaffoneyns@gmail.com,09649291,Karen Gainfort,Sligo County Council,Church Of Ireland,1,0,1
820,KILLINKERE N S,Corratinner,Virginia,Co. Cavan,Cavan,office@killinkerens.ie,0498547611,Mary Brady,Cavan County Council,Catholic,74,77,151
821,ST BRIGID'S PRIMARY SCHOOL,Station Road,Moate,Co. Westmeath,Westmeath,office@stbrigidsmoate.ie,0906481740,Cathy Gillivan,Westmeath County Council,Catholic,182,59,241
822,CLONPRIEST N S,Youghal,Co. Cork,,Cork,info@clonpriestns.com,02493722,James Leahy,Cork County Council,Catholic,68,72,140
823,S N NAOMH IOSEF,Convent Road,Kinvara,Co. Galway,Galway,domgall@gmail.com,091638171,Dominic Gallagher,Galway County Council,Catholic,167,157,324
