Sr No,School Name,School Number,School Directer,Address,City,Province,Code postal,Phone Number,Fax Number,Region,School Email,Website
740,Jordan Christian School,882992,Paul Wagenaar,4171 Fifteenth St,Jordan Station,Ontario,L0R1S0,905-562-4023,905-562-4024,Région de l’Ouest,principal@ourjcs.ca,www.ourjcs.ca
741,"Junior Academy, The",884480,Paul Bamberger,2454 Bayview Avenue,Toronto,Ontario,M2L1A6,416-425-4567,416-425-7379,Région Centrale,pbamberger@junioracademy.com,www.junioracademy.com
742,Jérôme Lejeune School,668891,Sophia Hyginus,1359 Chatelain Ave.,Ottawa,Ontario,K1Z8A6,613-805-3289,,Région de l’Est,info@lejeuneschool.com,www.lejeuneschool.com
743,KAI Global School,665538,Lori Bouzane,1565 Maple Grove,Ottawa,Ontario,K2V1A3,613-407-5674,,Région de l’Est,info@kaiglobalschool.com,https://kaiglobalschool.com/
744,KCS Online Learning,665510,Biju Joseph,69 Maitland Street,Brampton,Ontario,L6S3B5,905-791-1750,,Région Centrale,info@kcsonlinelearning.com,www.kcsonlinelearning.com
745,KCS Senior School,883390,Garth Nichols,2183 Lake Shore Boulevard West,Toronto,Ontario,M8V0J2,416-617-7312,416-234-8386,Région de Toronto,seniorschooloffice@kcs.on.ca,https://www.kcs.on.ca/senior-school
746,KENT INTERNATIONAL SCHOOL,883040,NAI GANG YU,4700 Epworth Circle,NIAGARA FALLS,Ontario,L2E1C6,905-358-9991,905-358-3883,Région de l’Ouest,admin@kentintschool.ca,www.kentintschool.ca
747,KIND Forest School,885089,Kalyn Hale,1404 O'Brien Street,North Bay,Ontario,P1B5X9,705-358-6879,,Région du Nord,contact@kindforestschool.ca,kindnatured.ca
748,KW Montessori School,665070,Theresa Cochrane,527 Bridgeport Road East,Kitchener,Ontario,N2K1N6,519-742-1051,519-742-1051,Région de l’Ouest,admin@kwmontessorischool.com,www.kwmontessorischool.com
749,Kaa'naa'matay Wiigiiam,665448,Lowell Johnston,5 Eastend Road,Keewatin,Ontario,P0X1C0,807-543-6843,807-543-6444,Région du Nord,,
750,Kaban Montessori School,883736,Blanca Sanchez,2465 Dunwin Drive,Mississauga,Ontario,L5L1T1,905-569-3112,,Région Centrale,office@kabanmontessori.ca,www.kabanmontessori.ca
751,Kanata Academy,877697,Shannon Rattray,180 Huntmar Drive,Ottawa,Ontario,K2S1B9,613-599-5399,613-599-0556,Région de l’Est,info@kanataacademy.com,www.kanataacademy.com
752,Kanata Montessori High School,883130,Misha Costescu,275 Michael Cowpland Drive,Kanata,Ontario,K2M2G2,613-592-2189,,Région de l’Est,info@kmscrhs.ca,www.kanatamontessori.com
753,Kanata Montessori Private School,875104,Misha Costescu,355 Michael Cowpland Dr,Kanata,Ontario,K2M2C5,613-592-2189,613-592-3705,Région de l’Est,info@kmscrhs.ca,http://www.kanatamontessori.com
754,Kawartha Classical Christian School,669643,Rylan Auger,2673 Maple Grove Road,Cavan,Ontario,K9J0G5,705-312-5364,,Région de l’Est,office@kawarthaclassical.com,www.kawarthaclassical.com
755,Kawartha Farm School Inc.,884980,Sarah Smith,1304 Prospect Road,Woodville,Ontario,K0M2T0,647-892-9621,,Région de l’Est,sarahsmithias@kawarthafarmschool.com,www.kawarthafarmschool.com
756,Kawartha Montessori,876810,Carolyn Donaldson,2247 Burnham Line,Otonabee-South Monaghan,Ontario,K9J6X7,705-748-5437,,Région de l’Est,admin@kawarthamontessori.com,http://www.kawartha-montessori.org/
757,Kawenni:io/Gaweni:yo High School,663905,Tammy Jonathan,3201 Second Line 6,Hagersville,Ontario,N0A1H0,905-768-7203,905-768-7150,Région de l’Ouest,registrar@kgschool.ca,www.kgschool.ca
758,Kayla's Children Centre,884987,Yehudis Bergmann,36 Atkinson Avenue,Thornhill,Ontario,L4J8C9,905-738-5542,905-738-8047,Région Centrale,yaffi@kaylaschildrencentre.org,www.kaylaschildrencentre.org
759,Kayla's Children Centre (High School),884832,Alexandra Rehman,36 Atkinson Avenue,Thornhill,Ontario,L4J8C9,905-738-5542,,Région Centrale,alex@kaylaschildrencentre.org,www.kaylaschildrencentre.org
760,Keewaytinook Internet,663930,Debbie McDougall,730 Syndicate Ave South,Thunder Bay,Ontario,P7E1E9,800-387-3740,807-735-3392,Région du Nord,rajendrabudhram@edu.knet.ca,http://www.kihs.knet.ca
761,Kehila Jewish Community Day School,878529,Lishai Peel,215 Cline Ave N,Hamilton,Ontario,L8S4A1,905-529-7725,905-529-9694,Région de l’Ouest,office@kehilaschool.ca,http://www.kehilaschool.com
762,Kempenfelt Bay School,878588,Carrie Lane,2145 Innisfil Beach Road,Innisfil,Ontario,L9S4B9,705-739-4731,705-739-3678,Région Centrale,acanimkorbigi@kempenfeltbayschool.ca,http://www.kempenfeltbayschool.com/
763,Kendalwood Montessori,668625,Sandeep Dhillon,104 Consumers Drive,Whitby,Ontario,L1N5T3,905-665-4766,,Région de l’Est,admin@kendalwoodmontessori.com,www.kendalwoodmontessori.com
764,Kendelhurst Academy,665767,Paula CARRASCO,170 Church Street,Mississauga,Ontario,L5M2M3,905-813-8000,905-821-0891,Région Centrale,info@kendellhurst.com,www.Kendellhurst.com
765,Kenilworth Krest Parochial School,876569,Lydia Martin,7240 Sideroad 6 5,Mount Forest,Ontario,N0G2L0,519-323-3561,,Région de l’Ouest,,
766,Kenjgewin Teg,663654,Sherry Moreau,374A Hwy 551,M'Chigeeng,Ontario,P0P1G0,705-370-4342,705-377-4379,Région du Nord,sherrymoreau@kenjgewinteg.ca,www.kenjgewinteg.ca
767,Kennedy Montessori Private School,666491,Kiera Thompson,7781 Kennedy Rd,Unionville,Ontario,L3R2C8,905-948-1785,905-948-1785,Région Centrale,kennedymontessori@gmail.com,www.kennedymontessori.com
768,Kent School,667656,Robert Ford,4700 Epworth Circle,Niagara Falls,Ontario,L2E1C6,905-358-9991,905-358-3883,Région de l’Ouest,admin@kentschool.ca,www.kentschool.ca
769,Kesser Yosef,883386,Ephraim Klein,4116 Bathurst St.,Toronto,Ontario,M3H3P2,416-930-1276,,Région Centrale,office@kesseryosef.com,
770,Kew Park Montessori Day School,878863,Tarynn Parry,79 Hiawatha Rd,Toronto,Ontario,M4L2X7,416-694-6273,,Région de Toronto,info@kewparkmontessori.com,www.kewparkmontessori.com
771,Keystone Montessori School,882370,Adam Hewitt,133 James Street East,Orillia,Ontario,L3V1L7,705-327-2223,,Région Centrale,info@keystonemontessori.ca,www.keystonemontessori.ca
772,Keystone School,888468,Rachel Shiderman,186 St. George Street,Toronto,Ontario,M5R2N3,416-422-4123,,Région de Toronto,info@keystoneschools.ca,www.keystoneschools.ca
773,Khairul Ummah School,665365,Muhammad Ismail Kotwal,25 Civic Road,Scarborough,Ontario,M1L2K6,647-707-5366,416-445-8624,Région de l’Est,info@khairulummah.ca,www.khairulummah.ca
774,Khalsa Community School,877352,Ripsodhak Grewal,69 Maitland Street,Brampton,Ontario,L6S3B5,905-791-1750,905-458-9133,Région Centrale,khalsacommunityschool@hotmail.com,http://www.khalsacommunityschool.com/
775,Khalsa Montessori School,886258,Harpreet Gill,5 Cherrycrest Dr,Brampton,Ontario,L6P3W4,905-913-0801,905-913-0801,Région Centrale,info@kmschool.org,www.kmschool.org
776,Khalsa School Malton,666932,Gurpreet Singh,7280 Airport Rd.,Mississauga,Ontario,L4T2H3,905-671-2010,905-367-5335,Région Centrale,info@khalsaschoolmalton.com,www.khalsaschoolmalton.com
777,Kids Inc.,881284,Mary-Katherine Amos,5567 Fourth Line Line RR#2,Hillsburgh,Ontario,N0B1Z0,416-453-6949,,Région de l’Ouest,admin@kidsinc.ca,https://kidsinccamp.ca/forest-school/
778,KinderKollege Elementary School,877581,Kathy McTavish,205 Queen Street,Brampton,Ontario,L6W0C8,905-790-2223,905-790-8642,Région Centrale,admin@kinderkollege.ca,www.kinderkollege.ca
779,Kinderhuis Elementary,885537,William Hill,785 Pacific Rd,Oakville,Ontario,L6L6M3,416-452-6852,,Région Centrale,billhill@kmps.ca,none
780,Kindred Spirits Day School,885075,Melinda DeNicola,415 Pickering Crescent,Newmarket,Ontario,L3Y8G8,905-884-5052,,Région Centrale,melinda@kindredspirits-school.ca,www.kindredspirits-school.ca
781,King Alfred Academy,883209,Randy FREY,1373 Lobsinger Line,Waterloo,Ontario,N2J4G8,519-658-6333,,Région de l’Ouest,info@kingalfred.ca,
782,King Christian School,885630,BONNIE NOBLE,19740 Bathurst St,East Gwillimbury,Ontario,L9N0N5,905-853-1881,905-853-1701,Région Centrale,office@kingchristian.ca,http://www.kingchristian.ca
783,King Heights Academy,889823,Elsa Norberto,130 Racco Parkway,Thornhill,Ontario,L4J8X9,905-652-1234,905-652-9000,Région Centrale,info@kingheightsacademy.com,www.kingheightsacademy.com
784,King's Academy,889241,Kim Phillips,410 Sunset Drive,St. Thomas,Ontario,N5R3C7,519-702-5464,,Région de l’Ouest,office@kingsacademycanada.com,www.kingsacademycanada.com
785,King's Christian Collegiate,665398,Lisa Conlin,528 Burnhamthorpe Rd W,Oakville,Ontario,L6M4K6,905-257-5464,905-257-5463,Région Centrale,lconlin@kingschristian.ca,http://www.kingschristian.ca
786,King's College School for Bright and Gifed Children,876577,"Dennis Hahn, Laura Bassaragh",16379 The Gore Road,Caledon,Ontario,L7E0X4,905-880-7645,,Région Centrale,info@kingscollegeschool.ca,www.kingscollegeschool.ca
787,King's Cross Academy,886917,Benjamin Emery,194552 19Th Line,Ingersoll,Ontario,N5C3J6,519-485-4440,,Région de l’Ouest,info@kingscrossacademy.com,www.kingscrossacademy.com
788,King's Town Private School,884720,Roxanne Garwood,66 RIDEAU ST,KINGSTON,Ontario,K7K2Z7,613-546-5123,,Région de l’Est,ask@kingstownschool.ca,http://kingstownschool.ca
789,Kingfisher Lake Education Centre,664267,Roy Wagner,500 Airport Road,Kingfisher Lake,Ontario,P0V1Z0,807-532-2057,807-532-2153,Région du Nord,amosw@kingfisherlake.ca,
790,Kingston Christian School,885657,Anita Bull,1212 Woodbine Rd,Kingston,Ontario,K7L4V2,613-384-9572,613-384-9580,Région de l’Est,admin@kingstonchristianschool.ca,http://www.kingstonchristianschool.ca
791,Kingston Collegiate,668168,Brian Altay,477 Green Valley Drive,Windsor,Ontario,N8N4C2,647-830-5838,,Région de l’Ouest,kingstoncollegecnd@gmail.com,https://www.kingstoncollege.ca
792,Kingsway Academy,666341,Tetyana Vdovina,370 Huron Street,London,Ontario,N6A2K4,519-204-9050,,Région de l’Ouest,kevin@iceap.ca,www.iceapkingsway.ca
793,Kingsway Christian Academy,882601,Tracy Fast,3776 Highway 3,Balmoral,Ontario,N0A1H0,905-869-6470,,Région de l’Ouest,mark@kingswaychurch.ca,
794,Kingsway College Private High School,885959,Lee Richards,1200 Leland Rd,Oshawa,Ontario,L1K2H4,905-433-1144,905-433-1156,Région de l’Est,presidentsoffice@kingsway.college,http://www.kingsway.college
795,Kingsway College School,884812,Matina Mosun,4600 Dundas St W,Etobicoke,Ontario,M9A1A5,416-234-5073,416-234-8386,Région de Toronto,nnewton@kcs.on.ca,http://www.kcs.on.ca
796,Kinoomaadziwin Education Body,669812,Marlo Beaucage,132 Osprey Miikan,North Bay,Ontario,P1B8G5,705-845-3634,705-845-3637,Région du Nord,nancy.o'donnell@a-e-s.ca,
797,Kisomo International Collegiate,669857,Mohamed Ali,1735 Kipling Ave,Etobicoke,Ontario,M9R2Y8,647-693-9335,416-628-1710,Région Centrale,info@kisomo.ca,www.kisomo.ca
798,Kitchener Waterloo Bilingual School,887676,Claire Lise Knapp,600 Erb Street West,Waterloo,Ontario,N2J3Z4,519-886-6510,519-886-4053,Région de l’Ouest,admin@kwbilingualschool.net,www.kwbilingualschool.com
799,Kleinburg Christian School,881708,Lee Major,6950 Nashville Rd,Kleinburg,Ontario,L0J1C0,905-893-7211,,Région Centrale,leeann.major@kleinburgchristian.ca,www.kleinburgchristian.ca
800,Knox Christian School,885177,Paul Marcus,410 North Scugog Crt,Bowmanville,Ontario,L1C6T1,905-623-5871,905-623-8877,Région de l’Est,office@knoxchristian.com,knoxchristian.com
801,La Citadelle International Academy,665452,Alfred Abouchar,36 Scarsdale Rd,North York,Ontario,M3B2R7,416-385-9685,416-385-9685,Région Centrale,account@lacitadelleacademy.com,www.lacitadelleacademy.com
802,La Maison Montessori House,884134,Anne Martin,1205 Stellar Dr.,Newmarket,Ontario,L3Y7B8,905-895-2110,905-726-4364,Région Centrale,newmarket@lmmh.ca,www.lmmh.ca
803,La Salette Courtland Old Colony Christia,667731,Jake Dyck,71 La Salette Rd,La Salette,Ontario,N0E1H0,519-582-3077,,Région de l’Ouest,,
804,La Villa Montessori School,665461,Gino Falcitelli,1943 Ironoak Way,Oakville,Ontario,L6H3V7,905-844-1900,,Région Centrale,info@lvms.ca,www.lvms.ca
805,Lake Forest Academy,883389,Christian Bayly,209 Lichen Cres,Oshawa,Ontario,L1J7W2,647-818-6479,,Région de l’Est,christian.bayly@gmail.com,www.lakeforestacademy.com
806,Lakedale Amish Parochial,887609,,682483 Side Road 6 2,Chatsworth,Ontario,N0H1G0,,,Région de l’Ouest,,
807,Lakefield College School,885371,Anne-Marie Kee,4391 County Road 29,Lakefield,Ontario,K0L2H0,705-652-3324,705-652-6320,Région de l’Est,akee@lcs.on.ca,http://www.lcs.on.ca
808,Lakelet Parochial School,878359,Leah Martin,44736 Glennanon Rd 1,Clifford,Ontario,N0G1M0,,,Région de l’Ouest,,
809,Lakeshore School,880729,David Schleger,1555 Sydenham Road,Kingston,Ontario,K7L4V4,613-767-2776,,Région de l’Est,info@lakeshoreschool.com,www.lakeshoreschool.ca
810,Lakeside Parochial School,669546,Amy Martin,2 Bay Street,Charlton,Ontario,P0J1B0,,,Région du Nord,,
811,Lakeview Christian School,887889,Lorne Martin,74705 Bronson Line 1,Zurich,Ontario,N0M2T0,519-565-5286,,Région de l’Ouest,,
812,Lakeview Montessori School,880256,Renee Ryerson,13797 Riverside Dr E,Tecumseh,Ontario,N8N1B5,519-735-5005,519-735-7462,Région de l’Ouest,info@lakeviewmontessori.ca,http://www.lakeviewmontessori.ca/
813,Lakewood Montessori Christian School,882152,Katherine Shave,2054 Mountainside Drive,Burlington,Ontario,L7P1A8,289-245-1717,,Région de l’Ouest,lakewoodmontessorischool@yahoo.com,lakewoodmontessori.ca
814,Lamlash Echoes,883078,Rosellen Kuepfer,421785 Conc. 6 NDR,Elmwood,Ontario,N0G1S0,,,Région de l’Ouest,,
815,Langside Parochial,666076,Martha Brubacher,479 Langside Street 5,Lucknow,Ontario,N0G2H0,,,Région de l’Ouest,,
816,Laureate College,885783,"Robert Hamilton, Steve Saunders",1921 Snake Road,Burlington,Ontario,L7P4Y2,416-800-8434,416-642-7078,Région Centrale,info@laureatecollege.ca,www.laureatecollege.ca
817,Laureates Academy for Gifted Students,881826,Iman Kamali Sarvestani,8 Weldrick Road West,Richmond,Ontario,L4C3T8,647-455-2606,,Région Centrale,info@laureates.ca,www.laureates.ca
818,Lauremont School – Lower School,665064,Rachel Marks,8569 Bayview Avenue,Richmond Hill,Ontario,L4B3M7,905-889-6882,905-886-6516,Région Centrale,vhaines@lauremontschool.ca,www.tmsschool.ca
819,Lauremont School – Upper School,885797,Peter Hill,500 Elgin Mills Road E.,Richmond Hill,Ontario,L4C5G1,905-780-1002,905-780-8981,Région Centrale,sthomas@tmsschool.ca,www.tmsschool.ca
820,Laurentian Hills Christian School,887897,Carolyn Van Zwol,11 Laurentian Drive,Kitchener,Ontario,N2E1C1,519-576-6700,519-576-2583,Région de l’Ouest,inquiries@lhcs.net,www.lhcs.net
821,Le Cercle des savoirs,889281,Abdelouahid Haouari,435 Saint-Laurent,Ottawa,Ontario,K1K2Z6,613-697-4351,,Région de l’Est,henseignant@hotmail.com,
822,Le Mother Mary High School,669978,Christian Bayly,151 Brunel Road,Mississauga,Ontario,L4Z2H6,289-514-2296,,Région Centrale,lemothermary@gmail.com,https://lemothermary.com
823,Lead Academy,885122,Samantha Wong,80F Centurian Drive,Markham,Ontario,L3R8C1,289-278-8282,,Région Centrale,samantha.wong@lead-academy.ca,www.lead-academy.ca
824,Leahurst College,880502,Elizabeth Turcke,4 Cataraqui Street,Kingston,Ontario,K7K1Z7,613-767-9201,,Région de l’Est,eturcke@leahurstcollege.ca,www.leahurstcollege.ca
825,Learning Beam Academy,889197,Itwant Johal,209 -19 Woodbine Downs Boulevard,Etobicoke,Ontario,M9W6N5,416-887-0769,,Région de Toronto,learningbeam@gmail.com,
826,Learning Genius Academy Inc,885331,Chandan Jha,4515 EBENEZER RD,Brampton,Ontario,L6P2K7,647-869-4222,289-632-1510,Région Centrale,learning_genius@yahoo.ca,www.learninggeniusacademy.com
827,Lee Academy Private Elementary School,878332,Alison Will,1978 2nd Concession W RR 1,Lynden,Ontario,L0R1T0,519-647-9772,,Région de l’Ouest,director@leeacademy.com,http://www.leeacademy.com
828,Lennox & Addington Cornerstone Christian,876860,Pamela Mutch,320 Bridge St W,Napanee,Ontario,K7R3S7,613-354-2354,613-354-2354,Région de l’Est,cornerstonechristiannapanee@gmail.com,www.cornerstonenapanee.com
829,"Leo Baeck Day School, The",886769,Adina Lubek,501 Arlington Avenue,Toronto,Ontario,M6C3A4,416-787-9899,,Région de Toronto,info@leobaeck.ca,www.leobaeck.ca
830,Leonardo Da Vinci Academy of Arts and,882909,Susan Lee,901 Lawrence Ave W,Toronto,Ontario,M6A1C3,416-247-6137,416-247-6138,Région de Toronto,ldva@ldva.on.ca,http://www.ldva.on.ca
831,Lev Academics,883201,Elise Greenberg,463 Eglinton Avenue West,Toronto,Ontario,M5N1A7,647-300-3130,,Région de Toronto,elise@levacademics.com,levacademics.com
832,Liberty Prep School,666744,Leslie Shuber,162 Parliament Street,Toronto,Ontario,M5A2Z1,416-603-0341,,Région de Toronto,learn@libertyprepschool.com; laura@libertyprepschool.com,www.libertyprepschool.com
833,Lighthouse Christian School,881789,Nancy Wall,59 Victoria Street,Port Burwell,Ontario,N0J1T0,519-671-0467,,Région de l’Ouest,lgcprivateschool@gmail.com,lgcprivateschool.com
834,Lilac Grove Parochial School,877158,Miriam Sittler,716 Elderslie Con 10 2,Dobbinton,Ontario,N0H1L0,,,Région de l’Ouest,,
835,Limehouse Forest School,882491,Emily Janecek,12389 5th Line,Limehouse,Ontario,L0P1H0,519-373-6951,,Région Centrale,limehouseforestschool@gmail.com,www.atlastforestschools.com
836,Linbrook School,883704,Mike Packowski,1079 Linbrook Road,Oakville,Ontario,L6J2L2,905-844-2697,,Région Centrale,info@linbrook.ca,www.linbrook.ca
837,Lindale Parochial School,886947,Esther Weber,5545 Ament Line 1,Linwood,Ontario,N0B2A0,,,Région de l’Ouest,,
838,"Linden School, The",876186,Zahra Valani,920 Yonge Street,Toronto,Ontario,M4W3C7,416-966-4406,416-966-9736,Région de Toronto,principal@lindenschool.ca,http://www.lindenschool.ca
839,Link On Learning,665758,Janice Frohlich,1220 Stellar Drive,Newmarket,Ontario,L3Y7B9,905-895-9493,,Région Centrale,janice@linkonlearning.com,www.linkonlearning.com
840,Listowel Christian School,888923,THERESA JANECZKO,305 Binning Street W,Listowel,Ontario,N4W1G4,519-291-3086,,Région de l’Ouest,office@listowelchristianschool.ca,www.listowelchristianschool.ca
841,Literacy and Mathematics Academy,884652,Nicole Guerriero,1 King Street West,Stoney Creek,Ontario,L8G1G7,289-441-1078,,Région de l’Ouest,info@literacymathacademy.com,www.literacymathacademy.com
842,Little House Montessori School,665560,Joanne Harrison,140 Maple Street,Collingwood,Ontario,L9Y2P8,705-444-9997,705-293-0892,Région Centrale,littlehousemontessorischool@gmail.com,www.littlehousemontessori.net
843,Living Gospel Mission School,669606,Jake Harder,8277 Plank Road South 1,Straffordville,Ontario,N0J1Y0,204-960-2536,,Région de l’Ouest,abe.rempel@outlook.com,
844,Living Hope Christian School,883879,Heather Windatt,1045 Garth ST,Hamilton,Ontario,L9C4L5,905-667-1197,905-667-1198,Région de l’Ouest,info@lhcschool.tv,www.findhope.tv
845,Lodestar Montessori School,883156,Erin Kerr,120 Taylor Road,Bracebridge,Ontario,P1L1J2,647-608-0416,,Région Centrale,office@lodestarmontessorischool.com,lodestarmontessorischool.com
846,Lolart School,669329,Justin Li,920 Yonge Street,Toronto,Ontario,M4W3C7,416-250-8110,,Région Centrale,guidance@lolart.ca,www.lolart.academy
847,London Christian Academy,887684,Sandy Tauschek,85 Charles St,London,Ontario,N6H1H1,519-473-3332,519-473-9843,Région de l’Ouest,office@londonchristianacademy.ca,www.londonchristianacademy.ca
848,London Christian Elementary School,885746,Stephen Janssen,202 Clarke Road,London,Ontario,N5W5E4,519-455-0360,,Région de l’Ouest,principal@londonchristian.ca,http://www.londonchristian.ca
849,London Christian High School,885738,Gabriella Hoogstra,24 Braesyde Ave,London,Ontario,N5W1V3,519-455-4360,519-455-4364,Région de l’Ouest,office@lchonline.ca,www.londonchristianhigh.ca
850,London Community Hebrew Day School,887404,NECHAMA SILBERBERG,536 Huron St,London,Ontario,N5Y4J5,519-439-8419,519-439-0404,Région de l’Ouest,office@lchds.ca,
851,London International Academy,666947,Linda Thomas,365 Richmond St,London,Ontario,N6A3C2,519-433-3388,519-433-3387,Région de l’Ouest,lthomas@lia-edu.ca,www.lia-edu.ca
852,London Islamic School,877557,Patricia Zabian,151 Oxford St W,London,Ontario,N6H1S3,519-679-9920,519-679-6842,Région de l’Ouest,info@londonislamicschool.com,www.londonislamicschool.com
853,London Waldorf School,881120,Imke Jorgensen,7 Beaufort St,London,Ontario,N6G1A5,519-858-8862,519-858-8863,Région de l’Ouest,admin@londonwaldorf.ca,http://www.londonwaldorf.ca
854,Longbridge Academy,881778,Nazanin Akbari,38 Berzcy Street,Aurora,Ontario,L4G1W9,905-237-0380,,Région Centrale,info@longbridgeacademy.com,https://longbridgeacademy.com/
855,Lorvale Academy,885469,Yan Chen,7550 Birchmount Road,Markham,Ontario,L3R6C6,905-497-2114,,Région de Toronto,info@lorvale.com,www.lorvale.com
856,Lote tree Foundation,885067,ZAHIR BACCHUS,291 Great Lakes Drive,BRAMPTON,Ontario,L6R2Z4,647-919-2098,,Région Centrale,admin@lotetree.ca,www.lotetree.ca
857,Lotus Academy,883535,Hana Fu,"250 Shields Ct, 2nd Floor",Markham,Ontario,L3R9W7,647-704-6922,,Région de l’Est,sylvia.lyu@lotusacademy.ca,www.lotusacademy.ca
858,Lutherwood Parochial School,666858,Jesse Weber,8476 Wellington Rd 16 2,Arthur,Ontario,N0G1A0,206-979-0889,,Région de l’Ouest,,
859,Lycée Claudel,888117,Nicolas Nicolas,1635 Lycee Place,Ottawa,Ontario,K1G0E5,613-733-8522,613-733-3782,Région de l’Est,proviseur@claudel.org,http://www.claudel.org
860,Lycée Français de Toronto,877018,Barbara Martin,2327 Dufferin St,Toronto,Ontario,M6E3S5,416-924-1789,416-924-9078,Région de Toronto,proviseur@lft.ca,www.lft.ca
861,Lynden School,668587,Marijana Stojkovic,3105 Dundas Street West,Mississaug,Ontario,L5L3R8,365-324-7296,,Région de l’Ouest,director@lyndenschool.org,https://www.lyndenschool.online/
862,Lynedoch Christian School,668419,Peter Friesen,295 Charlton Street,Delhi,Ontario,N4B2W4,519-582-1222,,Région de l’Ouest,,
863,Lynn-Rose College,667127,Michelle Lau,7310 Rapistan Crt.,Mississauga,Ontario,L5N6L8,905-816-0301,905-567-5318,Région Centrale,llafferty@lynnroseheights.org,www.lynnroseheights.com
864,Lynn-Rose Heights Private School - Elem,878014,Michelle Lau,7215 7215 MILLCREEK Drive,MISSISSAUGA,Ontario,L5N3R3,905-567-3553,905-567-5318,Région Centrale,LLAFFERTY@LYNNROSEHEIGHTS.ORG,http://www.lynnroseheights.net
865,Lyonsgate Montessori School,668747,Rachel Lyons,248 Locke Street South,Hamilton,Ontario,L8P4B9,905-525-4283,,Région de l’Ouest,admin@lyonsgate.ca,www.lyonsgate.ca
866,M'Learning Student Centre,669485,Nikita Dua,3-5695 Rivergrove Avenue,Mississauga,Ontario,L5M3V8,905-462-2698,,Région Centrale,info@learnincentre.com,
867,MAC Al-Furqan Quran School - London,669360,Sarrah Lawendy,1175 Hyde Park Rd,London,Ontario,N6H5K5,226-884-9357,,Région de l’Ouest,admin@londonalfurqanschool.ca,
868,MAC Al-Furqan School,880155,Khadijah Al-Dhabbi,60 Town Centre Court,Toronto,Ontario,M1P0B1,416-822-5501,,Région de l’Est,khadijah.aldhabbi@gmail.com,www.alfurqan.school
869,MAC Maple Grove School,665027,Rozeena Khan,160 Courtland Avenue East,Kitchener,Ontario,N2G3M6,226-647-8500,,Région de l’Ouest,admin@macmaplegrove.com,www.macmaplegrove.com
870,MAC Niagara Islamic School,669650,Lisa Stevens-Aboaen,140 Haig Street,St. Catharines,Ontario,L2R6L3,905-688-6622,,Région de l’Ouest,macnis2017@gmail.com,www.macnis.ca
871,MAC Rose City Elementary School,881931,AMANI ZABALAWI,5420 EMPRESS STREET,WINDSOR,Ontario,N8T1B4,519-419-1714,519-419-3899,Région de l’Ouest,admin@rosecityelementaryschool.ca,
872,MAM Islamic Elementary School,665262,Nighat Parveen,4269 Regional Road 25,Oakville,Ontario,L6M4E9,647-988-4269,,Région Centrale,nighat.parveen@miltonmasjid.com,
873,MEI Academy World High School,669686,Joseph Mei,15816 Regional Road 50,Bolton,Ontario,L7E3E5,905-880-1492,905-880-0708,Région Centrale,world@meiacdaemy.com,meiacademy.com
874,MILLWOODS INTERNATIONAL SCHOOL,884072,Komalpreet Kaur Sandhu,4786 Queen St,Niagara Falls,Ontario,L2E2M3,289-257-5150,,Région de l’Ouest,MILLWOODSINTLSCHOOL@GMAIL.COM,
875,MITBRIDGE ACADEMY,665724,Yu Wei,1674 Gerrard Street E,Toronto,Ontario,M4L2B2,416-816-8870,,Région de Toronto,weiyu666@outlook.com,www.mitbridgeacademy.com
876,ML Montessori,883237,Michael Madeley,8142 Islington Avenue,Woodbridge,Ontario,L4L1W6,905-856-3875,,Région Centrale,mwmadeley2@gmail.com,www.mlmontessorischool.com
877,"Mabin School, The",881090,Simone Gravesande,50 Poplar Plains Road,Toronto,Ontario,M4V2M8,416-964-9594,416-964-3643,Région de Toronto,office@mabin.com,www.mabin.com
878,MacLachlan College,881298,Michael Piening,2794 South Sheridan Way,Oakville,Ontario,L6J7T4,905-844-0372,,Région Centrale,mpiening@maclachlan.ca,www.maclachlan.ca
879,MacLachlan College Lower School,665698,Jacki Bright,337 Trafalgar Road,Oakville,Ontario,L6J3H3,905-844-0372,,Région Centrale,jbright@maclachlan.ca,www.maclachlan.ca
880,Macdonald-Cartier Academy,875341,jean mantha,270 Crichton St,Ottawa,Ontario,K1M1W4,613-744-8898,613-744-2150,Région de l’Est,mcaint@bellnet.ca,http://www.mcacademy.ca/
881,Macton Parochial School,887722,Mary Martin,4783 Lavery Road 1,Wallenstein,Ontario,N0B2S0,,,Région de l’Ouest,,
882,Madaniyya Academy,668301,Mahmad Zakariya Desai,3930 Nashua Drive,Mississauga,Ontario,L4V1M5,647-781-7313,,Région Centrale,jameahmadaniyya@gmail.com,
883,Madina Academy,667977,Shibli Russel,2680 Lawrence Avenue East,Scarborough,Ontario,M1P4Y4,647-721-0664,647-947-2789,Région de l’Est,madinaacademys@gmail.com,www.madinaacademys.com
884,Madinatul Uloom Academy - Scarborough,882911,Sofia Sirajunnisa,670 Progress Avenue,Toronto,Ontario,M1H3A4,416-332-1810,416-332-0470,Région de l’Est,info@mua.ca,www.mua.ca
885,Madinatul Uloom Academy Inc,666972,Noor Rehman,710 Progress Ave,Scarborough,Ontario,M1H2X3,416-332-9428,416-332-0470,Région de l’Est,info@mua.ca,www.mua.ca
