Sr No,SchoolName,SchoolType,SchoolURL,States,Email,Numbers,SchoolSector
672,Carinya Christian School Gunnedah,Pri/Sec,http://www.carinya.nsw.edu.au,NSW,"gunnedah@carinya.nsw.edu.au, admin@carinya.nsw.edu.au","(02) 6762 0970, (02)Â 6742 2766, 89 002 643 594",NG
673,Carinya Christian School Tamworth,Pri/Sec,http://www.carinya.nsw.edu.au,NSW,"gunnedah@carinya.nsw.edu.au, admin@carinya.nsw.edu.au","(02) 6762 0970, (02)Â 6742 2766, 89 002 643 594",NG
674,Carinya School,Special,https://carinya-s.schools.nsw.gov.au,NSW,carinya-s.school@det.nsw.edu.au,02 9580 2852,Gov
675,Carlingford High School,Sec,https://carlingfor-h.schools.nsw.gov.au,NSW,carlingfor-h.school@det.nsw.edu.au,02 9871 4222,Gov
676,Carlisle River Primary School,Prim,http://www.carlisleriverps.vic.edu.au,VIC,carlisle.river.ps@education.vic.gov.au,52 350 261,Gov
677,Carlton North Primary School,Prim,http://www.carltonnthps.vic.edu.au,VIC,carlton.north.ps@education.vic.gov.au,"03-9347-4822, 03 9347 4822",Gov
678,Carlton Primary School,Prim,http://www.carltonprimaryschool.vic.edu.au/,VIC,carlton.ps@education.vic.gov.au,03 9347 6022,Gov
679,Carlton School,Pri/Sec,http://www.carltonschool.sa.edu.au,SA,dl.0981.info@schools.sa.edu.au,08 8642 2281,Gov
680,Carlton South Public School,Prim,https://carltonsth-p.schools.nsw.gov.au,NSW,carltonsth-p.school@det.nsw.edu.au,02 9587 5777,Gov
681,Carmel School,Pri/Sec,http://www.carmel.wa.edu.au,WA,"accounts@carmel.wa.edu.au, shalom@carmel.wa.edu.au",,NG
682,Carmichael College,Pri/Sec,http://www.carmichael.qld.edu.au/,QLD,admin@carmichael.qld.edu.au,07 5431 1200,NG
683,Carnamah District High School,Pri/Sec,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4067,WA,Carnamah.DHS@education.wa.edu.au,,Gov
684,Carnegie Primary School,Prim,http://www.carnegieps.vic.edu.au,VIC,carnegie.ps@education.vic.gov.au,,Gov
685,Caroline Chisholm Catholic College,Sec,http://www.cccc.vic.edu.au/,VIC,communications@cccc.vic.edu.au,(03) 9296 5311,NG
686,Caroline Chisholm Catholic College - Sacred Heart Campus,Sec,http://www.cccc.vic.edu.au,VIC,communications@cccc.vic.edu.au,(03) 9296 5311,NG
687,Caroline Chisholm School,Special,https://carolchish-s.schools.nsw.gov.au,NSW,carolchish-s.school@det.nsw.edu.au,"1300 338 278, 02 9709 4661",Gov
688,Carramar Public School,Prim,https://carramar-p.schools.nsw.gov.au,NSW,carramar-p.school@det.nsw.edu.au,02 9724 1850,Gov
689,Carrington Primary School,Prim,http://www.carringtonps.vic.edu.au,VIC,"carrington.ps@education.vic.gov.au, Carrington.ps@education.vic.gov.au","(03) 9763 9600, 0397639600",Gov
690,Carroll Public School,Prim,https://carroll-p.schools.nsw.gov.au,NSW,carroll-p.school@det.nsw.edu.au,02 6743 1722,Gov
691,Carrum Downs Secondary College,Sec,http://www.cdsc.vic.edu.au/,VIC,carrum.downs.sc@education.vic.gov.au,03 9788 9100,Gov
692,Carwatha College P-12,Pri/Sec,http://www.carwatha.vic.edu.au,VIC,"patrick.mulcahy@education.vic.gov.au, carwatha.p12@education.vic.gov.au",397955848,Gov
693,Casa Mia Montessori Community School,Prim,http://www.casamiamontessori.wa.edu.au/,WA,admin@casamiamontessori.wa.edu.au,(08) 9279 2209,NG
694,Cascade Environmental Education Centre,Pri/Sec,https://cascade-e.schools.nsw.gov.au,NSW,cascade-e.school@det.nsw.edu.au,02 6657 4188,Gov
695,Casey Grammar School,Pri/Sec,http://www.caseygrammar.vic.edu.au,VIC,info@caseygrammar.vic.edu.au,"(03) 5995 2888, (03) 5991 0800",NG
696,Casimir Catholic College,Sec,https://casimirmarrickville.syd.catholic.edu.au,NSW,"parish@stbrigid.org.au, info@casimirmarrickville.catholic.edu.au","(02) 8577 5670, 204 (02) 9558 2888, (02) 9558 2888",NG
697,Casino Christian School,Pri/Sec,http://www.ccs.nsw.edu.au,NSW,admin@ccs.nsw.edu.au,(02) 6662 5599,NG
698,Casino Public School,Prim,https://casino-p.schools.nsw.gov.au,NSW,casino-p.school@det.nsw.edu.au,02 6662 1113,Gov
699,Cassia Primary School,Prim,http://cassiaps.wa.edu.au,WA,cassia.ps@education.wa.edu.au,08 9172 8500,Gov
700,Casterton Secondary College,Sec,http://www.castertonsc.vic.edu.au,VIC,casterton.sc@education.vic.gov.au,"(03) 5581 1588, (03) 5581 1518",Gov
701,Castle Cove Public School,Prim,https://castlecove-p.schools.nsw.gov.au,NSW,castlecove-p.school@det.nsw.edu.au,02 9417 1039,Gov
702,Castlemaine North Primary School,Prim,http://www.castlemainenorthps.vic.edu.au,VIC,castlemaine.north.ps@education.vic.gov.au,"03 5472 1391, 10027552",Gov
703,Castlemaine Steiner School & Kindergarten,Pri/Sec,http://www.cssk.vic.edu.au,VIC,"enquiries@cssk.vic.edu.au, enrolments@cssk.vic.edu.au",03 5479 2000,NG
704,Castlereagh Public School,Prim,https://castlereag-p.schools.nsw.gov.au,NSW,castlereag-p.school@det.nsw.edu.au,02 4776 1197,Gov
705,Casuarina School,Special,https://casuarina-s.schools.nsw.gov.au,NSW,casuarina-s.school@det.nsw.edu.au,02 9838 1200,Gov
706,Casuarina Senior College,Sec,http://www.casuarinaseniorcollege.com.au,NT,"csc.admin@education.nt.gov.au, csc.absent@ntschools.net","(08) 8983 7300, (08) 8983 7500",Gov
707,Casuarina Steiner School,Prim,http://www.casuarina.nsw.edu.au,NSW,admin@casuarina.nsw.edu.au,(02) 6651 2770,NG
708,Cathedral Catholic Primary School Bathurst,Prim,http://www.cathedralbathurst.catholic.edu.au,NSW,cathedral@bth.catholic.edu.au,02 6331 1845,NG
709,Catherine McAuley Catholic Primary School Orange,Prim,https://www.mcauleyorange.catholic.edu.au/,NSW,mcauleyorange@bth.catholic.edu.au,(02) 6361 3344,NG
710,Catherine McAuley College,Sec,https://cmcmrok.catholic.edu.au/,QLD,cmc@rok.catholic.edu.au,"07 4994 9200, 0402 258 416",NG
711,Catholic College Sale,Sec,http://www.ccsale.catholic.edu.au,VIC,contactus@ccsale.catholic.edu.au,03 5143 9700,NG
712,Catholic Regional College St Albans,Sec,http://www.crcstalbans.catholic.edu.au,VIC,enquiries@crcstalbans.com.au,(03) 9366 2544,NG
713,Caulfield Primary School,Prim,http://www.caulfieldps.vic.edu.au,VIC,Caulfield.ps@education.vic.gov.au,395237932,Gov
714,Caulfield South Primary School,Prim,http://www.caulfieldsthps.vic.edu.au,VIC,Caulfield.south.ps@education.vic.gov.au,(03) 9578 3718,Gov
715,Cavendish Primary School,Prim,http://www.cavendishps.vic.edu.au/,VIC,cavendish.ps@education.vic.gov.au,"(03) 55742282, (03) 5574 2282",Gov
716,Caversham Valley Primary School,Prim,https://cavershamvalleyps.wa.edu.au/,WA,cavershamvalley.ps@education.wa.edu.au,08 9461 2700,Gov
717,Cecil Hills Public School,Prim,https://cecilhills-p.schools.nsw.gov.au,NSW,cecilhills-p.school@det.nsw.edu.au,02 9822 0504,Gov
718,Ceduna Area School,Pri/Sec,http://www.cedunaas.sa.edu.au,SA,dl.0734.info@schools.sa.edu.au,(08) 8625 2030,Gov
719,Centaur Public School,Prim,https://centaur-p.schools.nsw.gov.au,NSW,centaur-p.school@det.nsw.edu.au,07 5524 9655,Gov
720,Centennial Park School,Special,https://centennial-s.schools.nsw.gov.au,NSW,centennial-s.school@det.nsw.edu.au,02 9310 0588,Gov
721,Central Coast Steiner School,Pri/Sec,http://www.ccss.nsw.edu.au/,NSW,info@ccrss.nsw.edu.au,02 4362 3400,NG
722,Central Mangrove Public School,Prim,https://centmangro-p.schools.nsw.gov.au,NSW,centmangro-p.school@det.nsw.edu.au,02 4373 1156,Gov
723,Central West Leadership Academy,Pri/Sec,https://theacademy.nsw.edu.au,NSW,office@theacademy.nsw.edu.au,(02) 6882 4216,NG
724,Central Yorke School,Pri/Sec,http://centralyorkeschool.sa.edu.au,SA,dl.0761.info@schools.sa.edu.au,"(08) 8832 2613, (08) 8832 2336",Gov
725,Centre of Excellence in Agricultural Education,Sec,https://richmondagcollege-h.schools.nsw.gov.au,NSW,centreofexcellenceinaged-h.school@det.nsw.edu.au,(02) 4560 6300,Gov
726,Ceres Primary School,Prim,http://www.ceresps.vic.edu.au,VIC,ceres.ps@education.vic.gov.au,"0352491382, (03) 5249 1382",Gov
727,Cessnock Public School,Prim,https://cessnock-p.schools.nsw.gov.au,NSW,cessnock-p.school@det.nsw.edu.au,02 4990 1652,Gov
728,Chaffey Secondary College,Sec,http://www.chaffeysc.vic.edu.au,VIC,Chaffey.sc@education.vic.gov.au,(03) 5023 0538,Gov
729,Chalcot Lodge Primary School,Prim,http://www.chalcotps.vic.edu.au,VIC,chalcot.lodge.ps@education.vic.gov.au,397004455,Gov
730,Challa Gardens Primary School,Prim,http://www.challaps.sa.edu.au,SA,dl.0714.info@schools.sa.edu.au,,Gov
731,Challenge Trade and Business College,Sec,https://ctbc.qld.edu.au/,QLD,admin@ctbc.qld.edu.au,301 (07) 3282 8000,NG
732,Champion Bay Senior High School,Sec,http://www.championbayshs.wa.edu.au,WA,"championbay.shs@education.wa.edu.au, championbay.shs.attendance@education.wa.edu.au",(08) 9965 8300,Gov
733,Chandler Park Primary School,Prim,http://www.chandlerparkps.vic.edu.au,VIC,chandler.park.ps@education.vic.gov.au,"(03) 9798 8933, (03) 9798 2228",Gov
734,Chandler Public School,Prim,https://chandler-p.schools.nsw.gov.au,NSW,chandler-p.school@det.nsw.edu.au,02 6778 1335,Gov
735,Channel Christian School,Prim,http://www.cst.tas.edu.au,TAS,admin@cst.tas.edu.au,,NG
736,Chapman Valley Primary School,Prim,http://www.chapmanvalleyprimaryschool.com.au/,WA,chapmanvalley.ps@education.wa.edu.au,08 9988 1200,Gov
737,Charlestown East Public School,Prim,https://charlestoe-p.schools.nsw.gov.au,NSW,charlestoe-p.school@det.nsw.edu.au,02 4943 5173,Gov
738,Charlton Christian College,Pri/Sec,http://www.charlton.nsw.edu.au,NSW,office@charlton.nsw.edu.au,"83 077 259 628, 02 4959 9111",NG
739,Charlton College,Pri/Sec,http://www.charlton.vic.edu.au,VIC,charlton.p12@education.vic.gov.au,03 5491 1280,Gov
740,Charthouse Primary School,Prim,http://www.charthouseps.wa.edu.au/,WA,Charthouse.PS@education.wa.edu.au,08 9591 7900,Gov
741,Chatham High School,Sec,https://chatham-h.schools.nsw.gov.au,NSW,chatham-h.school@det.nsw.edu.au,02 6552 2588,Gov
742,Chatham Primary School,Prim,http://www.chathamps.vic.edu.au,VIC,chatham.ps@education.vic.gov.au,(03) 9830 1933,Gov
743,Chatswood High School,Sec,https://chatswood-h.schools.nsw.gov.au,NSW,chatswood-h.school@det.nsw.edu.au,02 9419 3611,Gov
744,Chatsworth Island Public School,Prim,https://chatsworth-p.schools.nsw.gov.au,NSW,chatsworth-p.school@det.nsw.edu.au,02 6646 4346,Gov
745,Chelsea Heights Primary School,Prim,http://www.chps.vic.edu.au,VIC,chelsea.heights.ps@education.vic.gov.au,97724139,Gov
746,Cheltenham East Primary School,Prim,http://www.cheltenhameast.vic.edu.au,VIC,cheltenham.east.ps@education.vic.gov.au,(03) 9583 5746,Gov
747,Cheltenham Girls High School,Sec,https://cheltenham-h.schools.nsw.gov.au,NSW,cheltenham-h.school@det.nsw.edu.au,02 9876 4481,Gov
748,Cheltenham Primary School,Prim,http://www.cheltenhamps.vic.edu.au,VIC,cheltenham.ps@education.vic.gov.au,"(03) 9585 1702, (03) 8585 3200",Gov
749,Cherrybrook Public School,Prim,https://cherrybrok-p.schools.nsw.gov.au,NSW,cherrybrok-p.school@det.nsw.edu.au,02 9481 8575,Gov
750,Cherrybrook Technology High School,Sec,https://cherrybrok-h.schools.nsw.gov.au,NSW,cths@cths.nsw.edu.au,02 9484 2144,Gov
751,Chertsey Primary School,Prim,https://chertsey-p.schools.nsw.gov.au,NSW,chertsey-p.school@det.nsw.edu.au,02 4325 3963,Gov
752,Chester Hill High School,Sec,https://chesterhil-h.schools.nsw.gov.au,NSW,chesterhil-h.school@det.nsw.edu.au,02 9644 1099,Gov
753,Chevalier College,Sec,http://www.chevalier.nsw.edu.au,NSW,office@chevalier.nsw.edu.au,"02 4862 1499, 02 4861 1488",NG
754,Chifley College Bidwill Campus,Sec,https://bidwill-h.schools.nsw.gov.au,NSW,bidwill-h.school@det.nsw.edu.au,02 9628 2222,Gov
755,Chifley College Dunheved Campus,Sec,https://dunheved-h.schools.nsw.gov.au,NSW,dunheved-h.school@det.nsw.edu.au,02 9623 6600,Gov
756,Chifley College Mount Druitt Campus,Sec,https://mtdruitt-h.schools.nsw.gov.au,NSW,mtdruitt-h.school@det.nsw.edu.au,02 9625 9750,Gov
757,Chifley College Senior Campus,Sec,https://chifcolsnr-h.schools.nsw.gov.au,NSW,chifcolsnr-h.school@det.nsw.edu.au,02 9625 9920,Gov
758,Chifley College Shalvey Campus,Sec,https://shalvey-h.schools.nsw.gov.au,NSW,shalvey-h.school@det.nsw.edu.au,(02) 9628 9161,Gov
759,Child Side School,Pri/Sec,http://www.childsideschool.wa.edu.au,WA,enquiries@childsideschool.wa.edu.au,08) 9731 5232,NG
760,Chillingham Public School,Prim,https://chillingha-p.schools.nsw.gov.au,NSW,chillingha-p.school@det.nsw.edu.au,02 6679 1255,Gov
761,Chilwell Primary School,Prim,http://www.chilwellps.vic.edu.au,VIC,chilwell.ps@education.vic.gov.au,03 5221 2738,Gov
762,Chinchilla Christian College,Pri/Sec,http://www.chinchillacc.qld.edu.au,QLD,admin@chinchillacc.qld.edu.au,"413 07 4522 4000, 96 105 961 135",NG
763,Chirnside Park Primary School,Prim,http://www.chirnsideparkps.vic.edu.au/,VIC,chirnside.park.ps@education.vic.gov.au,(03) 9727 3466,Gov
764,Chisholm Catholic College,Sec,http://www.chisholm.wa.edu.au,WA,ChisholmReception@cewa.edu.au,(08) 9208 2500,NG
765,Chittaway Bay Public School,Prim,https://chittaway-p.schools.nsw.gov.au,NSW,chittaway-p.school@det.nsw.edu.au,02 4388 2188,Gov
766,Christ Church Grammar School,Pri/Sec,http://www.ccgs.wa.edu.au,WA,info@ccgs.wa.edu.au,,NG
767,Christ Church Grammar School,Prim,http://www.ccgs.vic.edu.au,VIC,reception@ccgs.vic.edu.au,"55063453350, (03) 9866 3540",NG
768,Christ Our Holy Redeemer School,Prim,http://www.cohroakeast.catholic.edu.au,VIC,office@cohroakeast.catholic.edu.au,(03) 9569 8966,NG
769,Christ the King Catholic Primary School Bass Hill,Prim,https://ctkbasshill.syd.catholic.edu.au,NSW,"info@ctkbasshill.catholic.edu.au, admin@ctk.org.au","(02) 9644 9700, 199 (02) 9644 9700, (02) 9644 5191",NG
770,Christ the King Primary School,Prim,http://www.ctkbraybrook.catholic.edu.au,VIC,info@ctkbraybrook.catholic.edu.au,"03 9311 7387, 18 215 088 169",NG
771,Christ the King School,Prim,http://www.ctknewcomb.catholic.edu.au,VIC,principal@ctknewcomb.catholic.edu.au,03 5248 1093,NG
772,Christ the King School,Prim,http://www.ctk.wa.edu.au,WA,admin@ctk.wa.edu.au,"(08) 94879900, (08) 9487 9900",NG
773,Christ the Priest Catholic Primary School,Prim,http://www.ctpcs.catholic.edu.au,VIC,enquiries@ctpcs.catholic.edu.au,03 9361 8600,NG
774,Christadelphian Heritage College Sydney,Pri/Sec,http://www.hcs.nsw.edu.au,NSW,office@hcs.nsw.edu.au,"180001717646867, 02 9826 2116",NG
775,Christian Brothers College - Senior Campus,Pri/Sec,http://www.cbc.sa.edu.au,SA,enquiries@cbc.sa.edu.au,"08 8400 4200, 08Â 8400Â 4210, 08 8400 4222",NG
776,Christian Brothers' High School Lewisham,Pri/Sec,http://www.cbhslewisham.nsw.edu.au/,NSW,office@cbhslewisham.nsw.edu.au,02 8585 1744,NG
777,Christie Downs Primary School,Prim,http://www.cdownssch.sa.edu.au,SA,dl.1019.info@schools.sa.edu.au,(08) 8382 3266,Gov
778,Christies Beach High School,Sec,http://www.cbhs.sa.edu.au,SA,dl.1013.info@schools.sa.edu.au,(08) 8329 9700,Gov
779,Christies Beach Primary School,Prim,http://www.cbeachps.sa.edu.au,SA,dl.0921.info@schools.sa.edu.au,(08) 8382 1511,Gov
780,Christmas Hills Primary School,Prim,http://www.christmashillsps.vic.edu.au,VIC,Christmas.hills.ps@education.vic.gov.au,"03 9730 1238, 0499 205 083",Gov
781,Christway College,Pri/Sec,http://www.christway.vic.edu.au,VIC,"wyndham@christway.vic.edu.au, kingston@christway.vic.edu.au","61 (03) 8551 6650, +61 (03) 8740 4770",NG
782,Chrysalis Montessori School,Prim,http://www.chrysalis.wa.edu.au/,WA,admin@chrysalis.wa.edu.au,,NG
783,Chrysalis School for Rudolf Steiner Education,Pri/Sec,http://www.chrysalis.nsw.edu.au,NSW,admin@chrysalis.nsw.edu.au,02 6655 8616,NG
784,Chullora Public School,Prim,https://chullora-p.schools.nsw.gov.au,NSW,chullora-p.school@det.nsw.edu.au,02 9642 4266,Gov
785,Chum Creek Primary School,Prim,http://www.chumcreek.vic.edu.au/,VIC,chum.creek.ps@education.vic.gov.au,"(03) 5962 5391, 0412 440 271",Gov
786,Churchill Primary School,Prim,http://www.churchillps.vic.edu.au/,VIC,churchill.ps@education.vic.gov.au,351221343,Gov
787,Churchlands Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5102,WA,churchlands.ps@education.wa.edu.au,,Gov
788,Churchlands Senior High School,Sec,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4012,WA,enquiries@churchlands.wa.edu.au,,Gov
789,Cire Community School,Special,http://www.cire.org.au/community-school/,VIC,communityschool@cire.org.au,"1300 835 235, 51 933 700 538",NG
790,City Beach Primary School,Prim,http://citybeachps.wa.edu.au/,WA,citybeach.ps@education.wa.edu.au,08 9237 7400,Gov
791,Clairgate Public School,Prim,https://clairgate-p.schools.nsw.gov.au,NSW,clairgate-p.school@det.nsw.edu.au,02 9670 1408,Gov
792,Clairvaux Catholic School,Prim,http://www.ccsbelmont.com.au,VIC,info@ccsbelmont.com.au,(03) 5243 2739,NG
793,Clancy Catholic College,Sec,https://clancy.syd.catholic.edu.au,NSW,"admin@sfxlurnea.org.au, info@clancy.catholic.edu.au","171 (02) 8783 6000, 02 9826 8977, (02) 8783 6000, 02 9607 8760",NG
794,Clapham Primary School,Prim,http://www.claphamps.sa.edu.au/,SA,dl.0952.info@schools.sa.edu.au,"(08) 8276 5633, 1800 551 800, 03 5304 4777",Gov
795,Clare Public School,Prim,https://clare-p.schools.nsw.gov.au,NSW,clare-p.school@det.nsw.edu.au,03 5020 6896,Gov
796,Claremont Meadows Public School,Prim,https://claremontm-p.schools.nsw.gov.au,NSW,claremontm-p.school@det.nsw.edu.au,02 9833 0711,Gov
797,Clarence High School,Sec,https://clarencehigh.education.tas.edu.au/,TAS,clarence.high@decyp.tas.gov.au,03 6244 2544,Gov
798,Clarence Valley Anglican School,Pri/Sec,https://www.cvas.nsw.edu.au/,NSW,"jsreception@cvas.nsw.edu.au, ssreception@cvas.nsw.edu.au","(02) 6642 2011, (02) 6642 8205",NG
799,"Clarence Valley Anglican School, Grafton Campus",Prim,http://www.cvas.nsw.edu.au/,NSW,"jsreception@cvas.nsw.edu.au, ssreception@cvas.nsw.edu.au","(02) 6642 2011, (02) 6642 8205",NG
800,Clarendon Vale Primary School,Prim,https://clarendonvaleprimary.education.tas.edu.au/,TAS,clarendon.vale.primary@decyp.tas.gov.au,03 6247 7055,Gov
801,Clarke Road School,Special,https://clarkerd-s.schools.nsw.gov.au,NSW,clarkerd-s.school@det.nsw.edu.au,02 9487 2652,Gov
802,Clarkson Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5731,WA,Clarkson.PS@education.wa.edu.au,,Gov
803,Clayfield College,Pri/Sec,http://www.clayfield.qld.edu.au,QLD,info@clayfield.qld.edu.au,"(07) 3262 0262, 902-4948-978, 83 986 300 603",NG
804,Claymore Public School,Prim,https://claymore-p.schools.nsw.gov.au,NSW,claymore-p.school@det.nsw.edu.au,02 4626 3988,Gov
805,Clayton South Primary School,Prim,http://www.claytonsouthps.vic.edu.au,VIC,clayton.south.ps@education.vic.gov.au,395580599,Gov
806,Clearview Christian College,Sec,https://www.clearview.qld.edu.au/,QLD,admin@clearview.qld.edu.au,"(07) 4910 8822, 17 643 980 287",NG
807,Clergate Public School,Prim,https://clergate-p.schools.nsw.gov.au,NSW,clergate-p.school@det.nsw.edu.au,02 6365 8256,Gov
808,Cleve Area School,Pri/Sec,http://www.cleveas.sa.edu.au,SA,dl.0753.info@schools.sa.edu.au,(08) 8628 2104,Gov
809,Clifton Creek Primary School,Prim,http://www.cliftoncreekps.vic.edu.au,VIC,clifton.creek.ps@education.vic.gov.au,03 5162 7800,Gov
810,Clifton Hill Primary School,Prim,http://www.cliftonhillps.vic.edu.au,VIC,clifton.hill.ps@education.vic.gov.au,394898333,Gov
811,Clifton Hills Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5550,WA,cliftonhills.ps@education.wa.edu.au,08 9234 7800,Gov
812,Clifton Park Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5692,WA,cliftonpark.ps@education.wa.edu.au,,Gov
813,Clifton Springs Primary School,Prim,http://www.cliftonspringsps.vic.edu.au,VIC,clifton.springs.ps@education.vic.gov.au,03 5251 3581,Gov
814,Clonard College,Sec,https://clonard.vic.edu.au/,VIC,office@clonard.vic.edu.au,"(03) 5278 9909, 34 169 198 421, (03) 5278 2155",NG
815,Clovelly Park Primary School,Prim,http://www.clovellyps.sa.edu.au,SA,dl.0932.info@schools.sa.edu.au,,Gov
816,Cloverdale Education Support Centre,Special,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=6064,WA,Cloverdale.ESC@education.wa.edu.au,,Gov
817,Clunes Primary School,Prim,http://www.clunesps.vic.edu.au,VIC,clunes.ps@education.vic.gov.au,(03) 5345 3182,Gov
818,Clunes Public School,Prim,https://clunes-p.schools.nsw.gov.au,NSW,clunes-p.school@det.nsw.edu.au,02 6629 1278,Gov
819,Clyde Fenton Primary School,Prim,https://cfs.nt.edu.au/,NT,admin.clydesch@education.nt.gov.au,08 8973 3844,Gov
820,Clyde Grammar,Prim,https://www.clydegrammar.vic.edu.au,VIC,info@clydegrammar.vic.edu.au,03 8903 4500,NG
821,Clyde Primary School,Prim,http://www.clydeps.vic.edu.au/,VIC,clyde.ps@education.vic.gov.au,(03) 5998 5293,Gov
822,Coastal Lakes College,Sec,https://coastallakescollege.wa.edu.au/,WA,coastallakes.col@education.wa.edu.au,(08) 9583 2800,Gov
823,Coatesville Primary School,Prim,http://www.coatesps.vic.edu.au,VIC,"Coatesville.ps@education.vic.gov.au, coatesville.ps@education.vic.gov.au",395701652,Gov
824,Cobains Primary School,Prim,http://www.cobains.vic.edu.au,VIC,cobains.ps@education.vic.gov.au,"(03) 5149 8274, 0490 181 065",Gov
825,Cobar High School,Sec,https://cobar-h.schools.nsw.gov.au,NSW,cobar-h.school@det.nsw.edu.au,02 6836 2705,Gov
826,Cobargo Public School,Prim,https://cobargo-p.schools.nsw.gov.au,NSW,cobargo-p.school@det.nsw.edu.au,02 6493 6482,Gov
827,Cobden Primary School,Prim,http://www.cobdenps.vic.edu.au,VIC,cobden.ps@education.vic.gov.au,355951087,Gov
828,Cobden Technical School,Sec,https://www.cobtech.vic.edu.au/,VIC,cobden.ts@education.vic.gov.au,355951202,Gov
829,Cobdogla Primary School,Prim,http://www.cobdoglaps.sa.edu.au/,SA,dl.0721.info@schools.sa.edu.au,(08) 8588 7131,Gov
830,Cobram Anglican Grammar School,Pri/Sec,http://www.cags.vic.edu.au/,VIC,admin@cags.vic.edu.au,(03) 5871 1816,NG
831,Cobram Secondary College,Sec,http://www.cobramsc.vic.edu.au/,VIC,cobram.sc@education.vic.gov.au,03 58 711700,Gov
832,Coburg Primary School,Prim,http://www.coburgps.vic.edu.au/,VIC,coburg.ps@education.vic.gov.au,,Gov
833,Coburg West Primary School,Prim,http://www.cobw.vic.edu.au/,VIC,coburg.west.ps@education.vic.gov.au,393861286,Gov
834,Coburn Primary School,Prim,http://www.coburnps.vic.edu.au/,VIC,coburn.ps@education.vic.gov.au,"03 9971 2999, 03 9747 9221, 03 9971 2900",Gov
835,Cocos Islands District High School,Pri/Sec,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4157,WA,CocosIslands.DHS@education.wa.edu.au,,Gov
836,Coffee Camp Public School,Prim,https://coffeecamp-p.schools.nsw.gov.au,NSW,coffeecamp-p.school@det.nsw.edu.au,02 6689 9259,Gov
837,Coffs Harbour Bible Church School,Pri/Sec,http://www.chbcs.nsw.edu.au,NSW,admin@chbcs.nsw.edu.au,,NG
838,Coffs Harbour Christian Community School,Pri/Sec,https://www.coffsccs.nsw.edu.au/,NSW,"jsadmin@chccs.com.au, admin@chccs.com.au","(02) 6658 8229, (02) 6653 4000, (02) 6652 6433",NG
839,Coffs Harbour Christian Community School - Junior Campus,Prim,http://www.coffsccs.nsw.edu.au,NSW,"jsadmin@chccs.com.au, admin@chccs.com.au","(02) 6658 8229, (02) 6653 4000, (02) 6652 6433",NG
840,"Coffs Harbour Christian Community School, Sherwood Cliffs Campus",Prim,http://www.sherwoodcliffs.com.au/,NSW,info@sherwoodcliffs.com.au,(02) 6649 2139,NG
841,Coffs Harbour High School,Sec,https://coffsharb-h.schools.nsw.gov.au,NSW,coffsharb-h.school@det.nsw.edu.au,02 6652 3466,Gov
842,Coffs Harbour Public School,Prim,https://coffsharb-p.schools.nsw.gov.au,NSW,coffsharb-p.school@det.nsw.edu.au,02 6652 3355,Gov
843,Coffs Harbour Senior College,Sec,https://coffsharbs-h.schools.nsw.gov.au,NSW,coffsharbs-h.school@det.nsw.edu.au,02 6659 3054,Gov
844,Cohuna Consolidated School,Prim,http://www.cohunacs.vic.edu.au,VIC,"COHUNA.CS@EDUCATION.VIC.GOV.AU, cohuna.cs@education.vic.gov.au",61354562361,Gov
845,Cohuna Secondary College,Sec,http://www.cohuna-sc.vic.edu.au,VIC,cohuna.sc@education.vic.gov.au,(03) 5456 3298,Gov
846,Colac Primary School,Prim,http://www.colacps.vic.edu.au,VIC,colac.ps@education.vic.gov.au,"(03) 5231 2560, 03 5231 2560",Gov
847,Colac Secondary College,Sec,http://www.colac-sc.vic.edu.au,VIC,colac.sc@education.vic.gov.au,"(03) 5231 9850, (03) 5231 9800",Gov
848,Colac South West Primary School,Prim,http://www.colac-sw-ps.vic.edu.au,VIC,colac.sw.ps@education.vic.gov.au,03 5232 1170,Gov
849,Coldstream Primary School,Prim,http://www.coldstreamps.vic.edu.au,VIC,coldstream.ps@education.vic.gov.au,770 (03) 9739 1680,Gov
850,Coleambally Central School,Pri/Sec,https://coleamball-c.schools.nsw.gov.au,NSW,coleamball-c.school@det.nsw.edu.au,02 6954 4131,Gov
851,Coleraine Primary School,Prim,http://www.coleraineps.vic.edu.au/,VIC,"coleraine.ps@education.vic.gov.au, vsba@education.vic.gov","(03) 5575 2711, (03) 5575 2057, 1800 896 950",Gov
852,Collaroy Plateau Public School,Prim,https://collaroypl-p.schools.nsw.gov.au,NSW,collaroypl-p.school@det.nsw.edu.au,02 9971 5214,Gov
853,Collector Public School,Prim,https://collector-p.schools.nsw.gov.au,NSW,collector-p.school@det.nsw.edu.au,02 4848 0024,Gov
854,College Row School,Special,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=6004,WA,CollegeRow@education.wa.edu.au,(08) 9724 3050,Gov
